sku,handle,preco,peso_real,lambda,perfil_atual,perfil_destino
HONE-TK30PV100SFM/U,tk30-boiler-trim-kit-with-1-sweat-supervent-fm911-combo,402.42,16.0,0.0398,General profile (89783402599),THS Standard (94652268647)
HONE-TK30PV100SNK/U,tk30-boiler-trim-kit-with-1-sweat-supervent-nk300s-combo,481.05,19.2,0.0399,General profile (89783402599),THS Standard (94652268647)
HONE-TK30PV125FM/U,tk30-boiler-trim-kit-with-1-25-npt-supervent-fm911-combo,416.72,16.8,0.0403,General profile (89783402599),THS Standard (94652268647)
HONE-TK30PV125SFM/U,tk30-boiler-trim-kit-with-1-25-sweat-supervent-fm911-combo,416.72,16.8,0.0403,General profile (89783402599),THS Standard (94652268647)
HONE-TK30PV125SNK/U,tk30-boiler-trim-kit-with-1-25-sweat-supervent-nk300s-combo,493.78,19.2,0.0389,General profile (89783402599),THS Standard (94652268647)
