SKU,ID,peso_lb,peso_dim_lb,peso_efetivo_lb,preco,lambda,fonte_dim,status,no_general_hoje
CFCB-200.125-TEE,7715626188903,0.74,,0.74,88.88,0.0083,,ACTIVE,sim
CFCB-200.150-FTR,7715626221671,0.37,,0.37,45.39,0.0082,,ACTIVE,sim
CFCB-200.150-TEE,7715626254439,0.89,,0.89,80.13,0.0111,,ACTIVE,sim
CHAT-12C,7715340845159,0.88,,0.88,13.12,0.0671,,ACTIVE,nao
CHAT-12W,7715340877927,0.88,,0.88,13.12,0.0671,,ACTIVE,nao
CHAT-3C,7715340910695,0.31,,0.31,8.75,0.0354,,ACTIVE,nao
CHAT-3W,7715340943463,0.31,,0.31,8.75,0.0354,,ACTIVE,nao
CHEM-150-22EL,7715300081767,0.52,,0.52,26.85,0.0194,,ACTIVE,sim
CHEM-150-45EL,7715300114535,0.52,,0.52,26.27,0.0198,,ACTIVE,sim
CHEM-150-90EL,7715300147303,0.52,,0.52,26.73,0.0195,,ACTIVE,sim
CHEM-150-CPL,7715300212839,0.52,,0.52,20.91,0.0249,,ACTIVE,sim
CHEM-150-FA,7715300245607,0.52,,0.52,16.42,0.0317,,ACTIVE,nao
CHEM-150-LTTY,7715300311143,0.52,,0.52,44.27,0.0117,,ACTIVE,sim
CHEM-150-PTRU,7715300343911,0.52,,0.52,45.42,0.0114,,ACTIVE,sim
CHEM-150-ST22,7715300376679,0.52,,0.52,23.87,0.0218,,ACTIVE,sim
CHEM-150-ST45,7715300409447,0.52,,0.52,19.92,0.0261,,ACTIVE,sim
CHEM-150.125-FTA,7715301228647,0.52,,0.52,19.02,0.0273,,ACTIVE,sim
CHEM-200-45EL,7715301294183,0.52,,0.52,32.04,0.0162,,ACTIVE,sim
CHEM-200-90EL,7715301326951,0.52,,0.52,33.24,0.0156,,ACTIVE,sim
CHEM-200-CO,7715301359719,0.52,,0.52,20.4,0.0255,,ACTIVE,sim
CHEM-200-FA,7715301392487,0.52,,0.52,22.42,0.0232,,ACTIVE,sim
CHEM-200-LTTY,7715301458023,0.52,,0.52,59.03,0.0088,,ACTIVE,sim
CHEM-200-PLG,7715301490791,0.52,,0.52,6.57,0.0791,,ACTIVE,nao
CHEM-200-SANT,7715301523559,0.52,,0.52,39.84,0.0131,,ACTIVE,sim
CHEM-200-ST90,7715301556327,0.52,,0.52,39.88,0.013,,ACTIVE,sim
CHEM-200-TET,7715301589095,0.52,,0.52,43.72,0.0119,,ACTIVE,sim
CHEM-200-TRANS-CPL,7715301621863,0.52,,0.52,473.33,0.0011,,ACTIVE,sim
CHEM-200-WYE,7715301654631,0.52,,0.52,47.54,0.0109,,ACTIVE,sim
CHEM-200.150-DST,7715301687399,0.52,,0.52,65.95,0.0079,,ACTIVE,sim
CHEM-200.150.150-SANT,7715301720167,0.52,,0.52,39.73,0.0131,,ACTIVE,sim
CHEM-300-22EL,7715301752935,0.52,,0.52,57.82,0.009,,ACTIVE,sim
CHEM-300-90EL,7715301785703,0.52,,0.52,56.43,0.0092,,ACTIVE,sim
CHEM-300-CPL,7715301818471,0.52,,0.52,33.39,0.0156,,ACTIVE,sim
CHEM-300-LT90,7715301851239,0.52,,0.52,64.55,0.0081,,ACTIVE,sim
CHEM-300-SANT,7715301884007,0.52,,0.52,79.66,0.0065,,ACTIVE,sim
CHEM-300-ST22,7715301916775,0.52,,0.52,57.82,0.009,,ACTIVE,sim
CHEM-300-ST45,7715301949543,0.52,,0.52,50.13,0.0104,,ACTIVE,sim
CHEM-300-ST90,7715301982311,0.52,,0.52,53.36,0.0097,,ACTIVE,sim
CHEM-300-TET,7715302015079,0.52,,0.52,91.7,0.0057,,ACTIVE,sim
CHEM-300-WYE,7715302047847,0.52,,0.52,84.72,0.0061,,ACTIVE,sim
CHEM-300.200-CPL,7715302113383,0.52,,0.52,47.49,0.0109,,ACTIVE,sim
CHEM-300.200-LTTY,7715302146151,0.52,,0.52,84.93,0.0061,,ACTIVE,sim
CHEM-300.200-SANT,7715302178919,0.52,,0.52,74.37,0.007,,ACTIVE,sim
CHEM-400-90EL,7715302211687,0.52,,0.52,89.82,0.0058,,ACTIVE,sim
CHEM-400-CAP,7715302244455,0.52,,0.52,68.5,0.0076,,ACTIVE,sim
CHEM-400-ST22,7715302867047,0.52,,0.52,71.2,0.0073,,ACTIVE,sim
CHEM-400-TET,7715303063655,0.52,,0.52,124.88,0.0042,,ACTIVE,sim
CHEM-400.200-FLB,7715303129191,0.52,,0.52,57.02,0.0091,,ACTIVE,sim
CHEM-400.200-SANT,7715303161959,0.52,,0.52,106.6,0.0049,,ACTIVE,sim
CHEM-400.200-WYE,7715303325799,0.52,,0.52,113.64,0.0046,,ACTIVE,sim
CHEM-400.300-FLB,7715303424103,0.52,,0.52,58.3,0.0089,,ACTIVE,sim
CHEM-400.300-LTTY,7715303456871,0.52,,0.52,123.38,0.0042,,ACTIVE,sim
CHEM-600-90EL,7715303882855,0.52,,0.52,232.44,0.0022,,ACTIVE,sim
CHEM-600-LTTY,7715303948391,0.52,,0.52,361.78,0.0014,,ACTIVE,sim
CHEM-600-ST90,7715304046695,0.52,,0.52,205.81,0.0025,,ACTIVE,sim
CHEM-600.300-FLB,7715304112231,0.52,,0.52,107.0,0.0049,,ACTIVE,sim
CHEM-600.400-LTTY,7715304210535,0.52,,0.52,284.4,0.0018,,ACTIVE,sim
CHEM-800-ST45,7715304243303,0.52,,0.52,404.72,0.0013,,ACTIVE,sim
CHEM-CEMENT,7715304276071,0.52,,0.52,56.74,0.0092,,ACTIVE,sim
CHER-269948,7715340976231,0.5,0.0,0.5,45.41,0.011,cube,ACTIVE,sim
CHER-270016,7715341008999,0.22,0.0,0.22,48.72,0.0045,cube,ACTIVE,sim
CHER-270024,7715341041767,0.22,0.0,0.22,51.89,0.0042,cube,ACTIVE,sim
CHER-270032,7715341074535,0.41,0.0,0.41,56.01,0.0073,cube,ACTIVE,sim
CHER-270040,7715341107303,0.56,0.0,0.56,65.05,0.0086,cube,ACTIVE,sim
CHER-270067,7715341140071,1.91,0.0,1.91,162.33,0.0118,cube,ACTIVE,sim
CHER-270138,7715341172839,1.0,,1.0,24.51,0.0408,,ACTIVE,nao
CHER-270178,7715341205607,1.0,,1.0,19.53,0.0512,,ACTIVE,nao
CHER-270188,7715341434983,0.5,,0.5,26.68,0.0187,,ACTIVE,sim
CHER-270210,7715341467751,0.13,0.0,0.13,7.54,0.0172,cube,ACTIVE,sim
CHER-270229,7715341500519,0.19,0.0,0.19,8.69,0.0219,cube,ACTIVE,sim
CHER-270237,7715341533287,0.38,0.0,0.38,11.71,0.0325,cube,ACTIVE,nao
CHER-270245,7715341566055,0.5,0.0,0.5,14.34,0.0349,cube,ACTIVE,nao
CHER-271020,7715342188647,1.1,0.0,1.1,100.44,0.011,cube,ACTIVE,sim
CHER-271039,7715342286951,1.88,0.0,1.88,125.31,0.015,cube,ACTIVE,sim
CHER-271047,7715342385255,2.31,0.0,2.31,148.84,0.0155,cube,ACTIVE,sim
CHER-271063,7715342549095,5.3,0.0,5.3,318.94,0.0166,cube,ACTIVE,sim
CHER-271508,7715342680167,0.5,,0.5,52.36,0.0095,,ACTIVE,sim
CHER-271519,7715342745703,0.29,0.0,0.29,4.09,0.0709,cube,ACTIVE,nao
CHER-271527,7715342778471,0.42,0.0,0.42,4.44,0.0946,cube,ACTIVE,nao
CHER-271535,7715342811239,0.56,0.0,0.56,6.93,0.0808,cube,ACTIVE,nao
CHER-271543,7715342844007,0.75,0.0,0.75,8.69,0.0863,cube,ACTIVE,nao
CHER-271578,7715342876775,1.69,0.0,1.69,18.57,0.091,cube,ACTIVE,nao
CHER-271705,7715342909543,0.3,0.0,0.3,57.28,0.0052,cube,ACTIVE,sim
CHER-271713,7715343040615,0.8,0.0,0.8,62.04,0.0129,cube,ACTIVE,sim
CHER-271721,7715343368295,1.3,0.0,1.3,71.88,0.0181,cube,ACTIVE,sim
CHER-271758,7715343466599,0.5,,0.5,180.25,0.0028,,ACTIVE,sim
CHER-273898,7715343499367,0.5,,0.5,77.43,0.0065,,ACTIVE,sim
CHER-274011,7715343532135,0.25,0.0,0.25,18.38,0.0136,cube,ACTIVE,sim
CHER-274038,7715343564903,0.5,0.0,0.5,20.89,0.0239,cube,ACTIVE,sim
CHER-303135,7715343597671,0.5,0.0,0.5,17.62,0.0284,cube,ACTIVE,sim
CHER-303143,7715343663207,0.5,0.0,0.5,40.09,0.0125,cube,ACTIVE,sim
CHER-55738,7715343695975,0.5,,0.5,32.91,0.0152,,ACTIVE,sim
CLEF-47401GR,7715284385895,5.0,1.2,5.0,95.78,0.0522,LWH,ACTIVE,nao
CMPF-025-90EL-NL,7715256434791,0.07,,0.07,7.79,0.009,,ACTIVE,sim
CMPF-025-90MA-NL,7715256467559,0.07,,0.07,6.86,0.0102,,ACTIVE,sim
CMPF-025-BINS-NL,7715256500327,0.05,,0.05,0.69,0.0725,,ACTIVE,nao
CMPF-025-CAP-NL,7715256533095,0.01,0.0,0.01,5.01,0.002,cube_ft3,ACTIVE,sim
CMPF-025-FA-NL,7715256565863,0.06,,0.06,3.5,0.0171,,ACTIVE,sim
CMPF-025-MA-NL,7715256598631,0.05,0.0,0.05,2.82,0.0177,cube_ft3,ACTIVE,sim
CMPF-025-NUT,7715256664167,0.05,,0.05,0.52,0.0962,,ACTIVE,nao
CMPF-025-NVLV-NL,7715256696935,0.09,,0.09,16.61,0.0054,,ACTIVE,sim
CMPF-025-SLV,7715256729703,0.01,0.1,0.06,0.17,0.3437,cube_ft3,ACTIVE,nao
CMPF-025-TEE-NL,7715256762471,0.1,,0.1,8.08,0.0124,,ACTIVE,sim
CMPF-025-UNI-NL,7715256795239,0.05,0.0,0.05,3.29,0.0152,cube_ft3,ACTIVE,sim
CMPF-025.018-MA-NL,7715257614439,0.04,,0.04,2.27,0.0176,,ACTIVE,sim
CMPF-025.038-MA-NL,7715257712743,0.07,,0.07,4.14,0.0169,,ACTIVE,sim
CMPF-025.050-FA-NL,7715257876583,0.08,,0.08,21.36,0.0037,,ACTIVE,sim
CMPF-025.050-MA-NL,7715258007655,0.1,3.9,3.87,7.54,0.5136,cube,ACTIVE,sim
CMPF-038-90EL-NL,7715258105959,0.11,,0.11,8.37,0.0131,,ACTIVE,sim
CMPF-038-90MA-NL,7715258171495,0.11,0.0,0.11,7.11,0.0155,cube_ft3,ACTIVE,sim
CMPF-038-BINS-NL,7715258368103,0.05,,0.05,0.45,0.1111,,ACTIVE,nao
CMPF-038-CAP-NL,7715258400871,0.02,0.0,0.02,3.48,0.0057,cube_ft3,ACTIVE,sim
CMPF-038-FA-NL,7715258466407,0.06,0.0,0.06,4.75,0.0126,cube_ft3,ACTIVE,sim
CMPF-038-MA-NL,7715258597479,0.07,,0.07,4.74,0.0148,,ACTIVE,sim
CMPF-038-NUT,7715258695783,0.02,,0.02,0.72,0.0278,,ACTIVE,nao
CMPF-038-NVLV-NL,7715258728551,0.13,0.0,0.13,19.8,0.0066,cube_ft3,ACTIVE,sim
CMPF-038-SLV,7715258761319,0.01,,0.01,0.21,0.0476,,ACTIVE,nao
CMPF-038-TEE-NL,7715258892391,0.15,0.0,0.15,10.43,0.0144,cube_ft3,ACTIVE,sim
CMPF-038-UNI-NL,7715258925159,0.07,0.0,0.07,4.26,0.0164,cube_ft3,ACTIVE,sim
CMPF-038.025-90MA-NL,7715258957927,0.09,,0.09,6.07,0.0148,,ACTIVE,sim
CMPF-038.025-FA-NL,7715258990695,0.06,,0.06,7.44,0.0081,,ACTIVE,sim
CMPF-038.025-MA-NL,7715259023463,0.06,,0.06,3.13,0.0192,,ACTIVE,sim
CMPF-038.025-TEE-NL,7715259121767,0.13,0.0,0.13,23.71,0.0055,cube_ft3,ACTIVE,sim
CMPF-038.025-UNI-NL,7715259154535,0.07,0.0,0.07,4.63,0.0151,cube_ft3,ACTIVE,sim
CMPF-038.050-90MA-NL,7715259187303,0.14,,0.14,10.21,0.0137,,ACTIVE,sim
CMPF-038.050-FA-NL,7715259220071,0.07,0.0,0.07,4.77,0.0147,cube_ft3,ACTIVE,sim
CMPF-038.050-MA-NL,7715259252839,0.09,0.0,0.09,4.74,0.019,cube_ft3,ACTIVE,sim
CMPF-050-CAP-NL,7715259285607,0.04,0.0,0.04,6.58,0.0061,cube_ft3,ACTIVE,sim
CMPF-050-FA-NL,7715259318375,0.09,,0.09,12.03,0.0075,,ACTIVE,sim
CMPF-050-MA-NL,7715259351143,0.12,0.0,0.12,5.69,0.0211,cube_ft3,ACTIVE,sim
CMPF-050-NUT,7715259383911,0.05,,0.05,1.36,0.0368,,ACTIVE,nao
CMPF-050-NUT-CP,7715259416679,0.09,,0.09,6.58,0.0137,,ACTIVE,sim
CMPF-050-SLV,7715259449447,0.01,,0.01,0.43,0.0233,,ACTIVE,nao
CMPF-050-UNI-NL,7715259482215,0.13,,0.13,6.76,0.0192,,ACTIVE,sim
CMPF-050.038-MA-NL,7715259514983,0.09,,0.09,5.5,0.0164,,ACTIVE,sim
CMPF-050.038-UNI-NL,7715259547751,0.11,,0.11,7.2,0.0153,,ACTIVE,sim
CMPF-050.075-MA-NL,7715259580519,0.18,,0.18,15.69,0.0115,,ACTIVE,sim
CMPF-058-90EL-NL,7715259613287,0.29,,0.29,16.17,0.0179,,ACTIVE,sim
CMPF-058-SLV,7715259646055,0.01,,0.01,0.61,0.0164,,ACTIVE,nao
CMPF-058.038-MA-NL,7715259678823,0.09,3.9,3.87,12.81,0.3023,cube,ACTIVE,sim
CMPF-058.038-UNI-NL,7715259711591,0.14,,0.14,8.1,0.0173,,ACTIVE,sim
CMPF-058.050-90MA-NL,7715259744359,0.3,,0.3,22.35,0.0134,,ACTIVE,sim
CMPF-058.050-FA-NL,7715259777127,0.14,,0.14,7.85,0.0178,,ACTIVE,sim
CMPF-058.050-MA-NL,7715259842663,0.13,,0.13,6.46,0.0201,,ACTIVE,sim
CMPF-058.050-UNI-NL,7715259875431,0.17,,0.17,20.41,0.0083,,ACTIVE,sim
CMPF-058.075-MA-NL,7715259908199,0.17,,0.17,11.36,0.015,,ACTIVE,sim
CMPF-078-UNI-NL,7715259940967,0.31,,0.31,21.46,0.0144,,ACTIVE,sim
COPF-018-90EL-C,7715626287207,0.05,,0.05,5.29,0.0095,,ACTIVE,sim
COPF-018-CAP-C,7715626319975,0.05,,0.05,2.59,0.0193,,ACTIVE,sim
COPF-018-CPL/RS-C,7715626385511,0.05,,0.05,1.62,0.0309,,ACTIVE,nao
COPF-018-MA-C,7715626418279,0.05,,0.05,24.55,0.002,,ACTIVE,sim
COPF-025-2HSTR-C,7715626451047,0.01,2.6,2.59,0.96,2.6974,cube_ft3,ACTIVE,nao
COPF-025-45EL-C,7715626483815,0.05,,0.05,9.88,0.0051,,ACTIVE,sim
COPF-025-90EL-C,7715626516583,0.01,0.0,0.01,5.56,0.0018,cube,ACTIVE,sim
COPF-025-CAP-C,7715626549351,0.05,4.4,4.43,1.62,2.7373,cube_ft3,ACTIVE,nao
COPF-025-CPL/DS-C,7715626614887,0.05,3.5,3.48,1.32,2.638,cube_ft3,ACTIVE,nao
COPF-025-CPL/RS-C,7715626647655,0.39,,0.39,1.32,0.2955,,ACTIVE,nao
COPF-025-LTST90-C,7715626680423,0.02,0.0,0.02,9.0,0.0022,cube,ACTIVE,sim
COPF-025-MA-C,7715626713191,0.03,0.0,0.03,18.66,0.0016,cube,ACTIVE,sim
COPF-025-ST90-C,7715626745959,0.01,0.0,0.02,9.73,0.0016,cube,ACTIVE,sim
COPF-025-TEE-C,7715626778727,0.03,0.0,0.03,11.08,0.0027,cube,ACTIVE,sim
COPF-025.018-CPL-C,7715626811495,0.39,,0.39,8.73,0.0447,,ACTIVE,nao
COPF-025.050-MA-C,7715626877031,0.07,0.0,0.07,11.29,0.0062,cube,ACTIVE,sim
COPF-038-2HSTR-C,7715626909799,0.01,2.6,2.65,1.01,2.623,cube_ft3,ACTIVE,nao
COPF-038-45EL-C,7715626942567,0.02,0.0,0.02,8.48,0.0024,cube,ACTIVE,sim
COPF-038-90EL-C,7715626975335,0.03,0.0,0.03,5.37,0.0056,cube,ACTIVE,sim
COPF-038-CAP-C,7715627008103,0.05,7.0,6.96,2.59,2.6889,cube_ft3,ACTIVE,sim
COPF-038-CPL/DS-C,7715627040871,0.02,4.6,4.58,1.72,2.6649,cube_ft3,ACTIVE,sim
COPF-038-CPL/RS-C,7715627106407,0.39,,0.39,1.74,0.2241,,ACTIVE,nao
COPF-038-FA-C,7715627139175,0.05,,0.05,12.5,0.004,,ACTIVE,sim
COPF-038-MA-C,7715627171943,0.04,0.0,0.04,9.3,0.0043,cube,ACTIVE,sim
COPF-038-ST90-C,7715627204711,0.03,0.0,0.03,6.71,0.0045,cube,ACTIVE,sim
COPF-038-TEE-C,7715627237479,0.05,0.0,0.05,8.89,0.0056,cube,ACTIVE,sim
COPF-038-UNI-C,7715627270247,0.15,,0.15,33.33,0.0045,,ACTIVE,sim
COPF-038.025-CPL-C,7715627335783,0.02,7.8,7.77,2.85,2.7254,cube_ft3,ACTIVE,sim
COPF-038.025-FLB-C,7715627368551,0.05,,0.05,3.06,0.0163,,ACTIVE,sim
COPF-038.025-FTR-C,7715627401319,0.05,,0.05,3.92,0.0128,,ACTIVE,sim
COPF-038.050-FA-C,7715627434087,0.08,,0.08,12.83,0.0062,,ACTIVE,sim
COPF-050-2HSTR-C,7715627466855,0.02,2.7,2.74,1.11,2.4662,cube_ft3,ACTIVE,nao
COPF-050-45EL-C,7715627499623,0.03,8.8,8.78,3.62,2.4252,cube_ft3,ACTIVE,sim
COPF-050-90EL-C,7715627565159,0.04,4.8,4.79,2.01,2.3837,cube_ft3,ACTIVE,sim
COPF-050-90FA-LF,7715627597927,0.18,,0.18,23.67,0.0076,,ACTIVE,sim
COPF-050-90MA-C,7715627630695,0.14,0.0,0.14,18.64,0.0075,cube,ACTIVE,sim
COPF-050-CAP-C,7715627696231,0.02,3.5,3.48,1.44,2.4181,cube_ft3,ACTIVE,nao
COPF-050-CPL/DS-C,7715627761767,0.02,3.7,3.66,1.46,2.5076,cube_ft3,ACTIVE,nao
COPF-050-CPL/LS-C,7715627794535,0.03,4.8,4.79,1.89,2.535,cube_ft3,ACTIVE,sim
COPF-050-CPL/RS-C,7715627860071,0.05,,0.05,1.48,0.0338,,ACTIVE,nao
COPF-050-CPL/WD-C,7715627892839,0.08,0.0,0.08,27.06,0.003,cube,ACTIVE,sim
COPF-050-DE90-C,7715627925607,0.13,0.0,0.13,23.21,0.0056,cube,ACTIVE,sim
COPF-050-DE90-LF,7715627958375,0.12,,0.12,24.97,0.0048,,ACTIVE,sim
COPF-050-DE90FA-LF,7715627991143,0.39,,0.39,23.21,0.0168,,ACTIVE,sim
COPF-050-DEA-LF,7715628023911,0.18,,0.18,34.55,0.0052,,ACTIVE,sim
COPF-050-DET-LF,7715628089447,0.16,,0.16,44.43,0.0036,,ACTIVE,sim
COPF-050-DETCF-C,7715628122215,0.25,,0.25,57.12,0.0044,,ACTIVE,sim
COPF-050-DETCF-LF,7715628154983,0.25,,0.25,61.5,0.0041,,ACTIVE,sim
COPF-050-FA-C,7715628187751,0.09,0.0,0.09,6.55,0.0137,cube,ACTIVE,sim
COPF-050-FAWA-LF,7715628220519,1.35,,1.35,50.7,0.0266,,ACTIVE,sim
COPF-050-FTGFA-C,7715628286055,0.09,0.0,0.09,12.51,0.0072,cube,ACTIVE,sim
COPF-050-FTGMA-C,7715628318823,0.07,0.0,0.07,17.45,0.004,cube,ACTIVE,sim
COPF-050-HE90FA-LF,7715628351591,0.21,,0.21,34.79,0.006,,ACTIVE,sim
COPF-050-LT90-C,7715628384359,0.06,0.0,0.06,8.6,0.007,cube,ACTIVE,sim
COPF-050-MA-C,7715628417127,0.06,10.0,10.03,4.12,2.4344,cube_ft3,ACTIVE,sim
COPF-050-MARVEL-C,7715628449895,0.03,0.0,0.03,19.38,0.0015,cube,ACTIVE,sim
COPF-050-S90FA-LF,7715628515431,0.21,,0.21,39.53,0.0053,,ACTIVE,sim
COPF-050-ST45-C,7715628548199,0.03,10.5,10.51,4.29,2.4489,cube_ft3,ACTIVE,sim
COPF-050-ST90-C,7715628580967,0.05,7.3,7.32,2.91,2.5158,cube_ft3,ACTIVE,sim
COPF-050-TEE-C,7715628613735,0.06,8.2,8.18,3.38,2.4212,cube_ft3,ACTIVE,sim
COPF-050-TEECF-C,7715628646503,0.14,,0.14,30.97,0.0045,,ACTIVE,sim
COPF-050-TEECF-LF,7715628679271,0.14,,0.14,33.34,0.0042,,ACTIVE,sim
COPF-050-UFA-LF,7715628744807,0.29,,0.29,77.5,0.0037,,ACTIVE,sim
COPF-050-UMA-LF,7715628777575,0.26,,0.26,67.19,0.0039,,ACTIVE,sim
COPF-050-UNI-C,7715628810343,0.22,0.0,0.22,20.57,0.0107,cube,ACTIVE,sim
COPF-050.018-FLBF-C,7715628843111,0.03,0.0,0.03,13.46,0.0022,cube,ACTIVE,sim
COPF-050.018.050-BBT-C,7715628875879,0.11,0.0,0.11,29.57,0.0037,cube,ACTIVE,sim
COPF-050.025-CPL-C,7715628908647,0.03,9.3,9.26,3.57,2.5925,cube_ft3,ACTIVE,sim
COPF-050.025-FA-C,7715628974183,0.05,0.0,0.05,9.77,0.0051,cube,ACTIVE,sim
COPF-050.025-FLBF-C,7715629006951,0.02,0.0,0.02,14.13,0.0014,cube,ACTIVE,sim
COPF-050.025-FTGFA-C,7715629039719,0.05,,0.05,22.71,0.0022,,ACTIVE,sim
COPF-050.025-FTR-C,7715629072487,0.02,9.5,9.49,3.68,2.5799,cube_ft3,ACTIVE,sim
COPF-050.025-MA-C,7715629138023,0.06,0.0,0.06,12.15,0.0049,cube,ACTIVE,sim
COPF-050.038-90EL-C,7715629170791,0.04,0.0,0.04,15.48,0.0026,cube,ACTIVE,sim
COPF-050.038-CPL-C,7715629203559,0.02,7.6,7.59,2.96,2.564,cube_ft3,ACTIVE,sim
COPF-050.038-FA-C,7715629236327,0.05,0.0,0.05,9.77,0.0051,cube,ACTIVE,sim
COPF-050.038-FLB-C,7715629269095,0.05,,0.05,3.87,0.0129,,ACTIVE,sim
COPF-050.038-FTGFA-C,7715629334631,0.06,,0.06,16.88,0.0036,,ACTIVE,sim
COPF-050.038-FTR-C,7715629367399,0.02,8.5,8.54,3.33,2.5651,cube_ft3,ACTIVE,sim
COPF-050.038-MA-C,7715629400167,0.05,0.0,0.05,10.08,0.005,cube,ACTIVE,sim
COPF-050.075-FA-C,7715629432935,0.12,0.0,0.12,14.02,0.0086,cube,ACTIVE,sim
COPF-050.075-MA-C,7715629465703,0.14,0.0,0.14,11.91,0.0118,cube,ACTIVE,sim
COPF-050.075-TEE-C,7715629531239,0.12,0.0,0.12,14.92,0.008,cube,ACTIVE,sim
COPF-058-LT90-C,7715629564007,0.09,0.0,0.09,8.7,0.0103,cube,ACTIVE,sim
COPF-058-LTST90-C,7715629596775,0.39,,0.39,15.3,0.0255,,ACTIVE,sim
COPF-075-2HSTR-C,7715629629543,0.02,4.6,4.58,1.84,2.4911,cube_ft3,ACTIVE,sim
COPF-075-45EL-C,7715629662311,0.08,0.0,0.08,6.13,0.0131,cube,ACTIVE,sim
COPF-075-90EL-C,7715629695079,0.1,10.7,10.74,4.43,2.4252,cube_ft3,ACTIVE,sim
COPF-075-90FA-C,7715629760615,0.25,0.0,0.25,40.35,0.0062,cube,ACTIVE,sim
COPF-075-90MA-C,7715629793383,0.25,0.0,0.25,38.27,0.0065,cube,ACTIVE,sim
COPF-075-CAP-C,7715629858919,0.04,6.5,6.52,2.67,2.4412,cube_ft3,ACTIVE,sim
COPF-075-CPL/DS-C,7715629891687,0.06,7.3,7.29,3.0,2.4304,cube_ft3,ACTIVE,sim
COPF-075-CPL/LS-C,7715629924455,0.06,10.0,9.97,3.94,2.5305,cube_ft3,ACTIVE,sim
COPF-075-CPL/RS-C,7715629957223,0.06,7.3,7.29,2.98,2.4467,cube_ft3,ACTIVE,sim
COPF-075-CPL/WD-C,7715630022759,0.14,0.0,0.14,32.05,0.0044,cube,ACTIVE,sim
COPF-075-DE90-C,7715630088295,0.24,0.1,0.24,58.71,0.0041,cube,ACTIVE,sim
COPF-075-DE90-LF,7715630121063,0.24,,0.24,63.21,0.0038,,ACTIVE,sim
COPF-075-DE90FA-C,7715630153831,0.32,,0.32,41.66,0.0077,,ACTIVE,sim
COPF-075-DE90FA-LF,7715630186599,0.37,,0.37,44.85,0.0082,,ACTIVE,sim
COPF-075-DETCF-LF,7715630219367,0.38,,0.38,112.8,0.0034,,ACTIVE,sim
COPF-075-FA-C,7715630284903,0.14,0.0,0.14,8.98,0.0156,cube,ACTIVE,sim
COPF-075-FTGFA-C,7715630317671,0.14,0.0,0.14,16.12,0.0087,cube,ACTIVE,sim
COPF-075-FTGMA-C,7715630350439,0.14,0.0,0.14,22.47,0.0062,cube,ACTIVE,sim
COPF-075-LT90-C,7715630383207,0.12,0.0,0.12,11.12,0.0108,cube,ACTIVE,sim
COPF-075-MA-C,7715630448743,0.12,0.0,0.12,6.92,0.0173,cube,ACTIVE,sim
COPF-075-PTR-C,7715630481511,0.39,,0.39,63.39,0.0062,,ACTIVE,sim
COPF-075-ST45-C,7715630514279,0.08,0.0,0.08,6.2,0.0129,cube,ACTIVE,sim
COPF-075-ST90-C,7715630547047,0.1,0.0,0.1,6.18,0.0162,cube,ACTIVE,sim
COPF-075-TEE-C,7715630579815,0.14,0.0,0.14,8.12,0.0172,cube,ACTIVE,sim
COPF-075-TEECF-LF,7715630645351,0.33,,0.33,53.86,0.0061,,ACTIVE,sim
COPF-075-UFA-LF,7715630678119,0.34,,0.34,105.28,0.0032,,ACTIVE,sim
COPF-075-UMA-LF,7715630710887,0.35,,0.35,91.61,0.0038,,ACTIVE,sim
COPF-075-UNI-C,7715630776423,0.31,0.0,0.31,25.37,0.0122,cube,ACTIVE,sim
COPF-075.018.075-BBT-C,7715630809191,0.19,0.0,0.19,28.98,0.0066,cube,ACTIVE,sim
COPF-075.038-CPL-C,7715630841959,0.05,0.0,0.05,6.31,0.0079,cube,ACTIVE,sim
COPF-075.038-FTR-C,7715630874727,0.05,,0.05,6.57,0.0076,,ACTIVE,sim
COPF-075.050-90EL-C,7715630940263,0.09,0.0,0.09,10.96,0.0082,cube,ACTIVE,sim
COPF-075.050-CPL-C,7715630973031,0.06,0.0,0.06,5.1,0.0118,cube,ACTIVE,sim
COPF-075.050-FA-C,7715631005799,0.09,0.0,0.09,13.59,0.0066,cube,ACTIVE,sim
COPF-075.050-FLB-C,7715631038567,0.07,0.0,0.07,7.17,0.0098,cube,ACTIVE,sim
COPF-075.050-FTGFA-C,7715631104103,0.13,,0.13,32.91,0.004,,ACTIVE,sim
COPF-075.050-FTGFA-LF,7715631136871,0.13,,0.13,58.3,0.0022,,ACTIVE,sim
COPF-075.050-FTR-C,7715631202407,0.06,0.0,0.06,5.19,0.0116,cube,ACTIVE,sim
COPF-075.050-MA-C,7715631235175,0.11,0.0,0.11,11.54,0.0095,cube,ACTIVE,sim
COPF-075.050-TEE-C,7715631300711,0.11,0.0,0.11,7.73,0.0142,cube,ACTIVE,sim
COPF-075.050.050-TEE-C,7715631333479,0.11,0.0,0.11,9.48,0.0116,cube,ACTIVE,sim
COPF-075.050.075-TEE-C,7715631366247,0.14,0.0,0.14,9.48,0.0148,cube,ACTIVE,sim
COPF-075.058-CPL-C,7715631431783,0.05,0.0,0.05,5.05,0.0099,cube,ACTIVE,sim
COPF-075.100-FA-C,7715631464551,0.22,0.0,0.22,29.1,0.0076,cube,ACTIVE,sim
COPF-075.100-MA-C,7715631530087,0.23,0.0,0.23,25.37,0.0091,cube,ACTIVE,sim
