SKU,ID,peso_lb,peso_dim_lb,peso_efetivo_lb,preco,lambda,fonte_dim,status,no_general_hoje
AMAC-075-74753-33,7715199942759,0.73,,0.73,77.89,0.0094,,ACTIVE,sim
AMAC-075-74753-55,7715199975527,0.62,,0.62,71.0,0.0087,,ACTIVE,sim
AMAC-075-74754-22,7715200041063,0.49,,0.49,61.83,0.0079,,ACTIVE,sim
AMAC-075-74754-33,7715200106599,0.69,,0.69,76.08,0.0091,,ACTIVE,sim
AMAC-075-74758-11,7715200204903,1.65,,1.65,143.48,0.0115,,ACTIVE,sim
AMAC-075-74758-22,7715200270439,0.8,,0.8,71.52,0.0112,,ACTIVE,sim
AMAC-075.100-74758-22,7715200303207,0.96,,0.96,83.13,0.0115,,ACTIVE,sim
AMAC-100-74753-11,7715200368743,1.0,,1.0,151.75,0.0066,,ACTIVE,sim
AMAC-100-74753-22,7715201417319,0.75,,0.75,69.63,0.0108,,ACTIVE,sim
AMAC-100-74753-33,7715201482855,1.35,,1.35,113.07,0.0119,,ACTIVE,sim
AMAC-100-74753-55,7715201581159,1.1,,1.1,108.33,0.0102,,ACTIVE,sim
AMAC-100-74754-22,7715201646695,0.69,,0.69,83.82,0.0082,,ACTIVE,sim
AMAC-100-74754-33,7715201679463,1.2,,1.2,97.32,0.0123,,ACTIVE,sim
AMAC-100-74758-11,7715201744999,1.0,,1.0,238.16,0.0042,,ACTIVE,sim
AMAC-100-74758-22,7715201810535,1.11,,1.11,81.86,0.0136,,ACTIVE,sim
AMAC-100.075-74753-22,7715201876071,0.68,,0.68,65.05,0.0105,,ACTIVE,sim
AMAC-100.125-74754-22,7715202203751,0.87,,0.87,98.4,0.0088,,ACTIVE,sim
AMAC-125-74753-11,7715202269287,1.0,,1.0,228.15,0.0044,,ACTIVE,sim
AMAC-125-74753-22,7715202334823,1.34,,1.34,133.08,0.0101,,ACTIVE,sim
AMAC-125-74753-33,7715202564199,1.95,,1.95,171.28,0.0114,,ACTIVE,sim
AMAC-125-74754-33,7715202728039,2.1,,2.1,140.28,0.015,,ACTIVE,sim
AMAC-125-74758-11,7715202826343,1.0,,1.0,339.44,0.0029,,ACTIVE,sim
AMAC-150-6133T,7715202924647,0.08,,0.08,8.14,0.0098,,ACTIVE,sim
AMAC-150-74753-11,7715203022951,4.0,,4.0,296.53,0.0135,,ACTIVE,sim
AMAC-150-74753-22,7715203088487,1.0,,1.0,190.65,0.0052,,ACTIVE,sim
AMAC-150-74753-33,7715203154023,2.3,,2.3,268.2,0.0086,,ACTIVE,sim
AMAC-150-74754-33,7715203186791,2.36,,2.36,239.43,0.0099,,ACTIVE,sim
AMAC-150-74758-11,7715203252327,4.5,,4.5,461.69,0.0097,,ACTIVE,sim
AMAC-200-6133T,7715203317863,0.1,,0.1,8.14,0.0123,,ACTIVE,sim
AMAC-200-74753-33,7715203416167,3.39,,3.39,426.21,0.008,,ACTIVE,sim
AMAC-4125-128,7715203448935,1.0,,1.0,31.38,0.0319,,ACTIVE,nao
AMAC-4125-157,7715203514471,1.0,,1.0,52.3,0.0191,,ACTIVE,sim
AMAC-4125-176,7715203580007,1.0,,1.0,50.18,0.0199,,ACTIVE,sim
AMAC-5424-422,7715203645543,1.0,,1.0,187.6,0.0053,,ACTIVE,sim
AMAC-74622-1,7715203711079,1.0,,1.0,49.36,0.0203,,ACTIVE,sim
AMGR-WAPS4060,7715204923495,1.94,,1.94,41.03,0.0473,,ACTIVE,nao
AMMX-GWGN44100,7715427680359,0.05,,0.05,45.22,0.0011,,ACTIVE,sim
AMMX-GWGN46100,7715427713127,0.05,,0.05,45.22,0.0011,,ACTIVE,sim
AMMX-GWGN48100,7715427745895,0.05,,0.05,45.22,0.0011,,ACTIVE,sim
AMMX-GWGN49100,7715427778663,0.05,,0.05,45.22,0.0011,,ACTIVE,sim
AMST-0039.000.020,7715204956263,1.0,27.1,27.09,113.18,0.2394,LWH,ACTIVE,sim
AMST-0044.000.020,7715205021799,1.0,,1.0,198.06,0.005,,ACTIVE,sim
AMST-0124.024.020,7715205087335,40.0,43.2,43.21,150.63,0.2869,LWH,ACTIVE,sim
AMST-0268.001.020,7715205120103,1.0,,1.0,223.03,0.0045,,ACTIVE,sim
AMST-0321.026.020,7715205185639,38.0,29.2,38.0,93.21,0.4077,LWH,ACTIVE,sim
AMST-0355.012.020,7715205283943,43.9,44.2,44.19,100.69,0.4389,LWH,ACTIVE,sim
AMST-0355.012USMCA.020,7715205316711,1.0,,1.0,104.86,0.0095,,ACTIVE,sim
AMST-0355.034.020,7715205382247,43.9,44.2,44.19,134.82,0.3278,LWH,ACTIVE,sim
AMST-0356.015.020,7715205447783,43.9,44.2,44.19,100.69,0.4389,LWH,ACTIVE,sim
AMST-0356.421.020,7715205480551,43.9,44.2,44.19,100.69,0.4389,LWH,ACTIVE,sim
AMST-0356.915.020,7715205546087,1.0,,1.0,238.84,0.0042,,ACTIVE,sim
AMST-0426.000.020,7715205578855,20.5,20.3,20.5,245.5,0.0835,LWH,ACTIVE,sim
AMST-0445.001.020,7715205677159,45.9,37.2,45.9,210.56,0.218,LWH,ACTIVE,sim
AMST-0475.020.020,7715205742695,23.34,23.3,23.34,87.38,0.2671,LWH,ACTIVE,sim
AMST-0475.047.020,7715205775463,23.34,23.0,23.34,86.55,0.2697,LWH,ACTIVE,sim
AMST-0476.028.020,7715205840999,1.0,23.0,23.02,90.7,0.2538,LWH,ACTIVE,sim
AMST-0476.928.020,7715205906535,23.34,23.3,23.34,103.2,0.2262,LWH,ACTIVE,sim
AMST-0491.019.020,7715205972071,22.8,25.8,25.81,87.38,0.2954,LWH,ACTIVE,sim
AMST-0495.221.020,7715206004839,19.0,21.4,21.41,89.04,0.2405,LWH,ACTIVE,sim
AMST-0496.221.020,7715206070375,22.94,23.0,22.99,89.04,0.2582,LWH,ACTIVE,sim
