sku,vid,pid,status,preco,peso_efetivo_lb,lam,perfil_atual,destino,titulo
BURN-202EN-G0,44353435893863,7716785946727,ACTIVE,2888.1,202.0,0.06994,General profile,Freight,"US Boiler (Burnham) Series 2e - 38,000 BTU Input - Cast Iron Sectional Chimney V"
BURN-203EN-G0,44353435926631,7716785979495,ACTIVE,3235.2,300.0,0.09273,General profile,Freight,"US Boiler (Burnham) Series 2e - 69,000 BTU Input - Cast Iron Sectional Chimney V"
BURN-204EN-G0,44353435992167,7716786045031,ACTIVE,3472.65,292.0,0.08409,General profile,Freight,"US Boiler (Burnham) Series 2e - 103,000 BTU Input - Cast Iron Sectional Chimney "
BURN-205EN-G0,44353436024935,7716786077799,ACTIVE,3905.49,354.0,0.09064,General profile,Freight,"US Boiler (Burnham) Series 2e - 138,000 BTU Input - Cast Iron Sectional Chimney "
BURN-206EN-G0,44353436057703,7716786110567,ACTIVE,4495.82,414.0,0.09209,General profile,Freight,"US Boiler (Burnham) Series 2e - 172,000 BTU Input - Cast Iron Sectional Chimney "
BURN-207EN-G0,44353436090471,7716786143335,ACTIVE,5064.69,458.0,0.09043,General profile,Freight,"US Boiler (Burnham) Series 2e - 207,000 BTU Input - Cast Iron Sectional Chimney "
BURN-208EN-G0,44353436123239,7716786176103,ACTIVE,5555.25,502.0,0.09036,General profile,Freight,"US Boiler (Burnham) Series 2e - 241,000 BTU Input - Cast Iron Sectional Chimney "
BURN-X-PV4P-T02,44353436581991,7716786634855,ACTIVE,5865.28,294.0,0.05013,General profile,Freight,"US Boiler (Burnham) X-PV Series - 94,000 BTU Input - Cast Iron Sectional Power V"
CMPF-025.050-MA-NL,44350365302887,7715258007655,ACTIVE,7.54,3.87,0.51364,General profile,Standard,"BrassCraft 68-4-8X 1/4"" x 1/2"" Compression Male Adapter"
CMPF-058.038-MA-NL,44350366974055,7715259678823,ACTIVE,12.81,3.87,0.30233,General profile,Standard,"BrassCraft 68-10-6X 5/8"" x 3/8"" Compression Male Adapter"
COPF-038-CAP-C,44351069159527,7715627008103,ACTIVE,2.59,6.96,2.68889,General profile,Standard,"Mueller Streamline W 07006 3/8"" Copper Sweat Fittings - Cap C"
COPF-038-CPL/DS-C,44351069192295,7715627040871,ACTIVE,1.72,4.58,2.66486,General profile,Standard,"Mueller Streamline W 10144 3/8"" Copper Sweat Fittings - Coupling - Dimple Stop C"
COPF-038.025-CPL-C,44351069519975,7715627335783,ACTIVE,2.85,7.77,2.72537,General profile,Standard,"Mueller Streamline W 01019 3/8"" x 1/4"" Copper Sweat Fittings - Coupling C x C"
COPF-050-45EL-C,44351069716583,7715627499623,ACTIVE,3.62,8.78,2.4252,General profile,Standard,"Mueller Streamline W 03026 1/2"" Copper Sweat Fittings - 45 Degree Elbow C x C"
COPF-050-90EL-C,44351069782119,7715627565159,ACTIVE,2.01,4.79,2.38366,General profile,Standard,"Mueller Streamline W 01622 1/2"" Copper Sweat Fittings - 90 Degree Elbow C x C"
COPF-050-CPL/LS-C,44351070142567,7715627794535,ACTIVE,1.89,4.79,2.53501,General profile,Standard,"Mueller Streamline W 01903 1/2"" Copper Sweat Fittings - Repair Coupling - No Sto"
COPF-050-MA-C,44351070863463,7715628417127,ACTIVE,4.12,10.03,2.43443,General profile,Standard,"Mueller Streamline W 01131 1/2"" Copper Sweat Fittings - Male Adapter C x MPT"
COPF-050-ST45-C,44351071027303,7715628548199,ACTIVE,4.29,10.51,2.44895,General profile,Standard,"Mueller Streamline W 03326 1/2"" Copper Sweat Fittings - 45 Degree Street Elbow F"
COPF-050-ST90-C,44351071060071,7715628580967,ACTIVE,2.91,7.32,2.51581,General profile,Standard,"Mueller Streamline W 01652 1/2"" Copper Sweat Fittings - 90 Degree Street Elbow F"
COPF-050-TEE-C,44351071092839,7715628613735,ACTIVE,3.38,8.18,2.42123,General profile,Standard,"Mueller Streamline W 04006 1/2"" Copper Sweat Fittings - Tee C x C x C"
COPF-050.025-CPL-C,44351071420519,7715628908647,ACTIVE,3.57,9.26,2.59254,General profile,Standard,"Mueller Streamline W 01025 1/2"" x 1/4"" Copper Sweat Fittings - Coupling C x C"
COPF-050.025-FTR-C,44351071617127,7715629072487,ACTIVE,3.68,9.49,2.57991,General profile,Standard,"Mueller Streamline W 01317 1/2"" x 1/4"" Copper Sweat Fittings - Fitting Reducer F"
COPF-050.038-CPL-C,44351071780967,7715629203559,ACTIVE,2.96,7.59,2.56403,General profile,Standard,"Mueller Streamline W 01023 1/2"" x 3/8"" Copper Sweat Fittings - Coupling C x C"
COPF-050.038-FTR-C,44351071977575,7715629367399,ACTIVE,3.33,8.54,2.5651,General profile,Standard,"Mueller Streamline W 01315 1/2"" x 3/8"" Copper Sweat Fittings - Fitting Reducer F"
COPF-075-2HSTR-C,44351072272487,7715629629543,ACTIVE,1.84,4.58,2.49106,General profile,Standard,"Mueller Streamline A 02574 3/4"" Copper Sweat Fittings - Two Hole Strap"
COPF-075-90EL-C,44351072338023,7715629695079,ACTIVE,4.43,10.74,2.42515,General profile,Standard,"Mueller Streamline W 01634 3/4"" Copper Sweat Fittings - 90 Degree Elbow C x C"
COPF-075-CAP-C,44351074959463,7715629858919,ACTIVE,2.67,6.52,2.44117,General profile,Standard,"Mueller Streamline W 07009 3/4"" Copper Sweat Fittings - Cap C"
COPF-075-CPL/DS-C,44351074992231,7715629891687,ACTIVE,3.0,7.29,2.43039,General profile,Standard,"Mueller Streamline W 10146 3/4"" Copper Sweat Fittings - Coupling - Dimple Stop C"
COPF-075-CPL/LS-C,44351075024999,7715629924455,ACTIVE,3.94,9.97,2.5305,General profile,Standard,"Mueller Streamline W 01905 3/4"" Copper Sweat Fittings - Repair Coupling - No Sto"
COPF-075-CPL/RS-C,44351075057767,7715629957223,ACTIVE,2.98,7.29,2.4467,General profile,Standard,"Mueller Streamline W 01034 3/4"" Copper Sweat Fittings - Coupling - Rolled Stop C"
