ven,lb,skus,tamanhos,free,preco_max,valor_free,exemplos
Sioux Chief,0.96,21,5,6,1706.93,4352.3,SIOU-837-HSL | SIOU-837-HSR | SIOU-865-N3 | SIOU-865-S1
Mueller Streamline,10.85,7,9,6,840.59,3533.99,MUEL-01410500C | MUEL-01210500C | MUEL-01010500C | MUEL-00421640C
Gruvlok,2.5,6,5,6,831.39,3527.07,GVLF-618-250.125 | GVLF-7050SS-250-304 | GVLF-7087-300-GALV | GVLF-7087-300-PNTD
RectorSeal,7.0,34,17,6,662.72,2311.0,RECT-82706 | RECT-87630 | RECT-82560 | ACCG-CGKIT
Taco Comfort Solutions,3.0,6,6,6,1589.67,2176.28,TACO-ACUF-300-AF-3 | TACO-LB-075-H-2LF | TACO-SFL-075T | TACO-110-252F
Resideo,1.0,12,5,6,285.41,628.68,HONE-L4006A1017/U | HONE-Q313U3000/U | HONE-PV-020RP/U | HONE-Q313A1188/U
Viega,1.33,6,5,6,249.12,612.81,VEGA-79060 | VEGA-79050 | VEGA-25156 | VEGA-79045
OMEGAFLEX,0.9,7,5,6,121.16,572.18,TRAC-FGP-CPLG-1000 | TRAC-FGP-SFST-1250 | TRAC-FGP-WBTM-500 | TRAC-FGP-SCPLG-1000
Mueller Streamline,0.66,9,8,6,405.6,422.59,COPT-118-ACR | COPF-150.075.125-TEE-C | COPF-150.100.125-TEE-C | COPF-250.125-CPL-C
Milwaukee Tools,0.3,6,4,6,181.66,351.11,MILW-48-89-9221 | MILW-48-00-5521 | MILW-48-22-4262 | MILW-48-00-5015
Mueller Streamline,0.44,12,5,6,87.33,329.08,COPF-125-FTGMA-C | CPPF-100.050.075-TEE | COPF-150-FTGFA-C | COPF-DWV-150.125-SJA-C
Mueller Streamline,0.47,10,5,6,131.06,327.99,COPF-DWV-150-WYE-C | COPF-250-CAP-C | CPPF-100.050-PFTEE | CPPF-075-UFA
Viega,0.41,6,5,6,81.11,322.15,VEGA-49997 | VEGA-78162 | VEGA-77747 | VEGA-78117
Viega,0.36,6,5,6,80.1,317.78,VEGA-49987 | VEGA-49995 | VEGA-94767 | VEGA-26006
Viega,0.44,6,5,6,70.45,307.9,VEGA-77737 | VEGA-77427 | VEGA-25586 | VEGA-91570
Dearborn,0.64,10,4,6,63.69,289.42,DEAR-704G-1 | DEAR-402A-17-1 | DEAR-401A-17-1 | DEAR-651-1
Mueller Streamline,0.41,7,5,6,53.59,279.87,COPF-100.125-TEE-C | CPPF-200-CAP | COPF-125.050.125-TEE-C | COPF-125.100.125-TEE-C
Mueller Streamline,0.34,10,4,6,105.28,277.08,COPF-075-UFA-LF | COPF-DWV-150-MA-C | CFCB-150-ST45 | CFCB-150-45EL
Mueller Streamline,0.4,7,5,6,63.42,271.07,CPPF-125-FTGMA | CFCB-200.075-FTR | COPF-150-FA-C | COPF-DWV-150-SANT-C
Mueller Streamline,0.31,13,5,6,76.88,245.68,COPF-100-DREL-C | CFCB-125.075-TEE | COPF-125.075-TEE-C | COPF-DWV-200-45EL-C
Legend Valve,0.55,6,5,6,33.77,167.54,SSTF-150-45EL | SSTF-150.125-CPL | SSTF-150.075-CPL | SSTF-150.100-CPL
Legend Valve,0.09,6,5,6,46.53,155.95,LEGE-303-108 | LEGE-303-107 | LEGE-303-106 | LEGE-303-104
Mueller Streamline,0.2,9,5,6,26.14,121.28,COPF-075.100-TEE-C | CPPF-100-45EL | CPPF-100-ST45 | COPF-150.075-FTR-C
Mueller Streamline,0.19,6,4,6,28.98,107.12,COPF-075.018.075-BBT-C | CFCB-100-ST90 | COPF-DWV-150-ST45-C | COPF-DWV-150-45EL-C
Charlotte Pipe,0.2,12,5,6,25.99,83.7,CPVC-125.075-TEE-V | CPVC-200-CPL-V | ABSF-350-PLG-A | CPVC-200.100-BSH-V
BrassCraft,0.23,6,4,6,15.04,58.11,BRAS-PR19X-C | BRAS-G2CEPX19X-C | BRAS-OCR19X-C | BRAS-OR17X-C
Charlotte Pipe,0.13,12,5,6,18.25,50.49,PVCF-300-90EL-P | CPVC-150-CPL-V | PDWV-150ST22-P | CPVC-100-ST90-V
Pasco,0.04,13,5,6,12.29,26.04,PASC-2096 | PASC-1239 | PASC-2152 | PASC-121
Gruvlok,3.0,5,5,5,1537.04,4865.75,GVLF-618-300.100 | GVLF-616-400.250-ENP | GVLF-650-400.200 | GVLF-616-300.250-ENP
Gruvlok,1.4,5,4,5,1069.47,2713.95,GVLF-652-400.200 | GVLF-650-250.200 | GVLF-650-300.200 | GVLF-650-300.250
Viega,3.0,5,4,5,356.02,1355.44,VEGA-56061 | VEGA-56060 | VEGA-22074 | VEGA-49615
Viega,2.3,5,5,5,305.01,1216.42,VEGA-20783 | VEGA-56053 | VEGA-56055 | VEGA-56056
Milwaukee Tools,0.87,7,10,5,438.99,656.01,MILW-48-20-5488 | MILW-2212-20 | MILW-48-20-7497 | MILW-48-20-9057
Viega,1.41,5,4,5,165.7,581.47,VEGA-25710 | VEGA-25056 | VEGA-25055 | VEGA-25496
Weld-On,1.21,20,4,5,224.02,539.92,IPSC-12494 | IPSC-14020 | IPSC-14010 | IPSC-14016
Mueller Streamline,0.59,5,4,5,147.56,428.84,COPF-DWV-150-FTGCO-C | COPF-150.075.100-TEE-C | COPF-150.100.100-TEE-C | COPF-150.125.100-TEE-C
HeatLink,0.5,7,5,5,73.89,333.18,HLNK-EX16643 | HLNK-EX16644 | HLNK-EX16663 | HLNK-EX16668
Mueller Streamline,0.81,7,4,5,556.8,328.07,COPT-150-DWV | COPT-150-10DWV | CFCB-200-ST90 | CPPF-200-ST45
Viega,0.46,5,4,5,92.95,274.65,VEGA-99690 | VEGA-49208 | VEGA-99680 | VEGA-49256
Milwaukee Tools,0.49,8,7,5,130.88,224.82,MILW-48-11-2420 | MILW-49-56-9647 | MILW-49-56-9637 | MILW-49-56-0153
Mueller Streamline,0.25,8,5,5,61.5,221.7,COPF-050-DETCF-LF | COPF-050-DETCF-C | COPF-075-90FA-C | COPF-075-90MA-C
Mueller Streamline,0.42,10,6,5,51.75,212.79,CFCB-200.050-FTR | COPF-DWV-150-LT90-C | COPF-200.050-FTR-C | CPPF-100.075.075-TEE
Viega,0.32,5,4,5,73.61,212.41,VEGA-49985 | VEGA-25576 | VEGA-25136 | VEGA-49004
Diablo,0.66,5,5,5,46.65,192.27,DIAB-DAG1170 | DIAB-DAG1160 | DIAB-DAG1150 | DIAB-DAG1110
Mueller Streamline,0.36,7,6,5,237.4,180.49,COPT-075-ACR | CFCB-200.125-FTR | COPF-200.100-FTR-C | COPF-200.125-FTR-C
Viega,0.28,5,4,5,54.51,162.64,VEGA-49409 | VEGA-78102 | VEGA-26001 | VEGA-77392
Pasco,0.54,8,6,5,47.22,161.11,PASC-40440 | PASC-2042 | PASC-40420 | PASC-40320
Webstone,0.05,5,4,5,57.82,133.3,WEBS-H-36806W | WEBS-H-36805W | WEBS-H-36804W | WEBS-H-36803W
Mill Rose,0.18,5,4,5,49.47,118.1,MILL-71038 | MILL-71028 | MILL-63085 | MILL-63060
Legend Valve,0.46,19,4,5,20.76,92.62,LEGE-107-554NL | LEGE-107-544NL | LEGE-107-144NL | LEGE-107-543NL
LSP Products,0.38,8,4,5,22.5,90.04,BENJ-109BC | BENJ-107BC | BENJ-107FC | BENJ-109FC
Pasco,0.25,6,8,5,46.04,88.91,PASC-3244 | PASC-2156 | PASC-4323 | PASC-2890
Viega,0.16,6,5,5,18.2,70.9,VEGA-94521 | VEGA-49755 | VEGA-89410 | VEGA-89413
Charlotte Pipe,0.17,9,4,5,16.29,65.36,CPVC-200-CAP-V | CPVC-200.050-BSH-V | CPVC-200.075-BSH-V | CPVC-200.150-BSH-V
BrassCraft,0.13,5,4,5,23.71,62.52,CMPF-038.025-TEE-NL | CMPF-038-NVLV-NL | CMPF-050-UNI-NL | CMPF-058.050-MA-NL
Pasco,0.01,13,6,5,11.07,38.76,PASC-1727 | PASC-4808 | PASC-4806 | PASC-4804
Armacell,0.05,5,7,5,9.48,38.22,INSL-58DT | INSL-138CT | INSL-118CT | INSL-78CT
Charlotte Pipe,0.12,14,5,5,14.12,33.94,CPVC-150-MA-V | ABSF-200-CAP-A | ABSF-150-CO-A | ABSF-150-STV90-A
Pasco,0.1,6,4,5,6.12,29.73,PASC-1235 | PASC-1236 | PASC-4430 | PASC-2144
Pasco,0.02,17,5,5,17.0,28.0,PASC-2866 | PASC-2147 | PASC-2858 | PASC-2859
Sammy Screws,0.06,5,4,5,3.44,14.55,SAMM-8020957 | SAMM-8059957 | SAMM-8042957 | SAMM-8038957
Charlotte Pipe,0.05,10,4,5,4.06,13.45,CPVC-125.100-BSH-V | CPVC-075-FA-V | PVCF-100.075-TBSH-P | ABSF-150-PLG-A
Gruvlok,11.5,4,6,4,8867.03,13432.98,GVLF-621-600.250 | GVLF-7811-300 | GVLF-7072-800.500-PNTD | GVLF-7050LR-400-PNTD
MrPEX Systems,13.14,32,9,4,1322.61,3401.46,MPEX-1680010 | MPEX-1670010 | MPEX-1650030 | MPEX-1660010
Milwaukee Tools,10.67,4,4,4,1141.45,3167.73,MILW-3476-20 | MILW-3670-22 | MILW-3469-20 | MILW-2888-20
Tyler Pipe Company,5.7,12,7,4,1001.5,2459.21,NHSF-1000-TET | NHSF-800.400-SANC | NHSF-500-WYE | NHSF-500-SANT
Milwaukee Tools,2.0,11,7,4,707.19,2152.12,MILW-48-17-3070 | MILW-48-17-5060 | MILW-48-22-9487 | MILW-48-17-5040
Watts,1.8,4,6,4,644.16,1175.75,WATT-0111764 | WATT-0881399 | WATT-0881378 | WATT-0881376
Taco Comfort Solutions,0.2,4,5,4,900.6,1098.22,TACO-409-3 | TACO-418-4 | TACO-426-3 | TACO-417-3
"Woodford Manufacturing Company, LLC",3.5,4,5,4,212.38,818.85,WOOD-22P-12-MH | WOOD-V22P-12-MH | WOOD-V22P-10-MH | WOOD-22CP-6-MH
Viega,1.05,4,5,4,293.91,652.23,VEGA-20700 | VEGA-15513 | VEGA-26036 | VEGA-25246
Viega,1.1,4,4,4,165.72,510.35,VEGA-15463 | VEGA-94772 | VEGA-90591 | VEGA-26116
Mueller Streamline,0.99,6,4,4,234.57,472.12,COPF-DWV-200.150-CRS-C | COPF-300.200-CPL-C | COPF-DWV-300-90EL-C | CPPF-150-TEE
Mueller Streamline,1.08,8,5,4,167.75,464.2,COPF-250.050-TEE-C | CPPF-250-CPLG/LS | CPPF-250-CPLG | COPF-200-TEE-C
Mueller Streamline,1.1,8,7,4,107.1,375.15,COPF-200.125.150-TEE-C | COPF-200.150.150-TEE-C | COPF-300.150-CPL-C | CPPF-125-UFA
Pasco,2.0,8,5,4,94.5,351.13,PASC-3085 | PASC-3088 | PASC-3084 | PASC-3083
Mueller Streamline,0.55,8,6,4,121.52,318.01,COPF-DWV-400-CLF-C | CFCB-200.050-TEE | COPF-DWV-200.150-SANT-C | COPF-200.050-TEE-C
Charlotte Pipe,0.57,16,5,4,164.73,293.19,ABSF-600.400-SANT-A | ABSF-400.400.200-LHO90 | ABSF-300-ST60-A | ABSF-300-STWYE-A
Mueller Streamline,0.64,8,5,4,80.5,272.15,COPF-200-FTGFA-C | COPF-250.200-CPL-C | COPF-250.200-FTR-C | CPPF-150-ST90
Rheem Manufacturing,1.0,6,8,4,145.57,242.56,RHEE-EEWRA631EWH | RHEE-SP20159 | RHEE-AP16581A | RHEE-SP11309C
Mueller Streamline,0.38,5,4,4,112.8,214.79,COPF-075-DETCF-LF | COPF-150.100-TEE-C | COPF-200.100-CPL-C | CPPF-200.100-FTR
Viega,0.35,4,4,4,77.76,200.26,VEGA-49290 | VEGA-77417 | VEGA-77432 | VEGA-22009
Mueller Streamline,0.48,12,7,4,54.84,181.82,COPF-DWV-200-ST90-C | COPF-DWV-200-90EL-C | CPPF-100.075.100-TEE | CPPF-100.050.100-TEE
Legend Valve,1.0,6,5,4,52.8,177.62,SSTF-200-45EL | SSTF-200.150-CPL | SSTN-075-12 | SSTN-200-4
Milwaukee Tools,0.26,4,4,4,49.23,141.77,MILW-48-00-5301 | MILW-48-22-4261 | MILW-48-00-1430 | MILW-49-66-4562
Apollo-Conbraco,0.64,4,4,4,39.38,141.46,APOL-77CLF-103-01A | APOL-18C-402-30 | APOL-18C-402-37 | APOL-94ALF-204-01A
Legend Valve,0.7,7,6,4,50.84,132.35,SSTF-150-ST90 | SSTN-200-3 | SSTN-125-4.5 | SSTN-100-6
Milwaukee Tools,0.53,4,4,4,33.48,116.18,MILW-49-56-7250 | MILW-48-62-6020 | MILW-48-00-5037 | MILW-48-62-6010
Pasco,0.38,9,6,4,41.59,108.39,PASC-1876 | PASC-1869-T | PASC-1857-T | PASC-1856-T
BrassCraft,0.52,7,6,4,24.69,87.52,BRAS-KTCR19B16AX-C | EASF-EFWC-034C-1010-24 | EASF-EFWC-034C-1010-18 | BRAS-WB00-24N
Dearborn,0.36,9,6,4,25.91,81.02,DEAR-803-17-1 | DEAR-803ED-1 | DEAR-803-20-1 | DEAR-803-1
Sioux Chief,0.48,11,10,4,26.98,80.74,SIOU-598-023 | SIOU-521-725 | SIOU-521-728 | SIOU-521-729
Milwaukee Tools,0.13,5,4,4,30.46,79.25,MILW-48-73-2020 | MILW-48-73-2025 | MILW-49-56-0032 | MILW-48-22-3104
Oatey,0.25,4,7,4,27.51,64.94,OATE-31275 | OATE-42239 | OATE-12806 | OATE-12805
Legend Valve,0.18,4,5,4,26.2,61.44,LEGE-800-654 | LEGE-800-653 | BRPN-025-5.5 | BRPN-050-3
Charlotte Pipe,0.19,7,5,4,15.35,44.96,CPVC-200.125-BSH-V | CPVC-150-45EL-V | ABSF-200-V90-A | ABSF-200-60EL-A
Charlotte Pipe,0.14,9,6,4,12.78,39.94,CPVC-100.075.075-TEE-V | CPVC-100.050-TEE-V | CPVP-075-10-V | CPVC-125-45EL-V
Mill Rose,0.13,4,4,4,18.41,34.77,MILL-62840 | MILL-61620 | MILL-61560 | MILL-61500
Mill Rose,0.04,5,5,4,11.42,29.1,MILL-70891 | MILL-62110 | MILL-66430 | MILL-70820
Legend Valve,0.08,4,6,4,3.79,14.33,BRPN-050-1.5 | BRPN-018-4 | BRPN-038-2 | BRPN-025-2.5
Sioux Chief,0.03,15,6,4,7.68,14.32,SIOU-390-50164 | SIOU-614-2 | SIOU-641PX333 | SIOU-641PX332
Pasco,0.03,10,6,4,2.97,9.81,PASC-1322 | PASC-2861 | PASC-2860 | PASC-1229
Grundfos,40.0,9,4,3,5605.82,11564.7,GRUN-98126808 | GRUN-98126804 | GRUN-98126824 | GRUN-92603115
T&S Brass & Bronze Works,1.0,4,6,3,942.96,1571.87,T&SB-B-0133-ADF14-B | T&SB-BL-5704-08WH4 | T&SB-000888-45 | T&SB-133X
Resideo,1.44,5,4,3,420.12,1050.36,HONE-F76S1015 | HONE-FT09RS-1A | HONE-MV876B1018 | HONE-ES06F-1/2A
Sioux Chief,3.0,6,5,3,416.73,992.23,SIOU-868-N3F | SIOU-868-523 | SIOU-868-524 | SIOU-868-5WD
Jomar,1.83,7,5,3,738.76,990.45,JOMA-150-111G | JOMA-100-408G | JOMA-100-635G | JOMA-100-754G
nVent Caddy,1.08,5,7,3,778.92,946.06,HGRI-CTS10 | HGRI-PSF10D | HGRI-PSF10C | HGRI-CSBRS3
Milwaukee Tools,3.0,7,5,3,267.38,607.18,MILW-49-22-4156 | MILW-48-89-4672 | MILW-48-89-9205 | MILW-48-00-5542
Viega,2.0,5,6,3,210.23,592.7,VEGA-49410 | VEGA-20833 | VEGA-49473 | VEGA-19786
Mueller Streamline,1.45,5,4,3,260.89,540.9,COPF-DWV-300-FA-C | CPPF-300-CPLG/LS | CPPF-300-CPLG | BLIF-200.150-90EL
LSP Products,3.0,4,5,3,190.92,494.22,SPEC-850-4N | SPEC-850-3N | SPEC-OB-2161-C-T | AQUF-V-101-A-LL
Mueller Streamline,0.88,5,5,3,540.6,482.91,COPT-138-ACR | CPPF-250.150-FTR | COPF-DWV-200-FTGCO-C | COPF-150-UNI-C
Diablo,3.0,9,7,3,192.51,407.58,DIAB-DSDS003 | DIAB-DSD1375S15 | DIAB-DSD1125S17 | DIAB-DS0608CFA3
Milwaukee Tools,1.6,4,4,3,249.65,385.21,MILW-48-11-1828 | MILW-48-20-3952 | MILW-49-22-0175 | MILW-48-22-2702
Mueller Streamline,1.19,4,5,3,107.72,320.15,CPPF-200.075-TEE | CPPF-125-UNI | COPF-250-ST90-C | BLPN-200-4
Mueller Streamline,1.01,7,5,3,124.64,299.76,COPF-DWV-300-ST90-C | COPF-200.125.125-TEE-C | CPPF-100-UFA | GAIF-250.200-BSH-G
Mueller Streamline,1.02,8,5,3,101.59,287.0,COPF-200.100.100-TEE-C | COPF-200.150.100-TEE-C | CPPF-200-ST90 | GAIF-200.125-BSH-G
Sterling Water Treatment,1.44,5,5,3,117.69,246.11,STEW-HJ10-1K | STEW-GACJ20 | STEW-ROCP-B | STEW-PPJ1010
Mueller Streamline,0.58,9,7,3,79.47,231.97,COPF-150.075.075-TEE-C | COPF-150.100.075-TEE-C | COPF-150.125.075-TEE-C | GAIF-100.050-CPL-G
Mueller Streamline,0.89,6,5,3,80.13,217.82,CFCB-200.150-TEE | COPF-300.250-FTR-C | COPF-200.150-TEE-C | GAPN-075-10
Sioux Chief,0.59,6,6,3,144.23,212.3,SIOU-656-ES | SIOU-660-TS88 | SIOU-660-GTC0 | SIOU-886-ATMS
Pasco,1.5,7,5,3,76.62,209.31,PASC-3082 | PASC-3081 | PASC-3080 | PASC-4562
Mueller Streamline,0.65,6,5,3,80.89,194.14,COPF-DWV-300-ST45-C | COPF-250.100-FTR-C | CPPF-125-TEE | GAIF-150-CAP-G
Mueller Streamline,0.91,6,4,3,62.14,184.9,COPF-300-CPL/RS-C | COPF-300-CPL/LS-C | COPF-300-CPL/DS-C | GAIF-150.125-CPL-G
Mueller Streamline,0.63,4,4,3,71.13,184.32,COPF-DWV-300-45EL-C | COPF-250.125-FTR-C | CPPF-075-UNI | BLPN-150-3
Mueller Streamline,0.54,6,4,3,64.7,162.59,CFCB-150-TEE | COPF-150-TEE-C | CPPF-150-45EL | GAIF-100.075-CPL-G
Mueller Streamline,0.52,9,8,3,71.91,152.39,CPPF-200.125-CPLG | COPF-DWV-200-MA-C | CPPF-200.150-FTR | GAPN-050-8
Charlotte Pipe,0.37,9,5,3,100.88,148.52,ABSF-600.400-WYE-A | CPVC-200-90EL-V | ABSF-150-DBLY-A | ABSF-200.150-LTTY-A
Mueller Streamline,0.56,4,4,3,46.05,127.68,CPPF-150-ST45 | COPF-100-UNI-C | COPF-150-LT90-C | GAPN-075-6
Legend Valve,0.9,4,5,3,48.8,127.05,SSTF-200.125-CPL | SSTF-200.075-BSH | SSTN-125-6 | SSTN-075-8
Sioux Chief,0.84,4,5,3,53.18,126.84,SIOU-695-D432F | SIOU-672X04C0 | SIOU-653-BS | SIOU-888-AM
Diablo,0.87,14,10,3,50.93,116.82,DIAB-DMANSP1070S | DIAB-DMAMM1190-S5 | DIAB-DMANS1070-S4 | DIAB-DMAPL4210
Sioux Chief,0.36,6,4,3,45.33,97.01,SIOU-240-416316C25 | SIOU-245-52100C04 | SIOU-842-82AT | SIOU-230-56160825
Sioux Chief,0.7,4,5,3,33.26,93.46,SIOU-869-2P | SIOU-888-GAM | SIOU-652-AS | SIOU-825-2P
Charlotte Pipe,0.59,4,4,3,34.17,80.59,CPVC-200.100-TEE-V | ABSF-200.150.200.200-DFT-A | ABSF-200-DFT-A | ABSF-300.150-SANT-A
Charlotte Pipe,0.18,7,4,3,29.19,66.97,CPVC-125.050-TEE-V | CPVC-200-MA-V | ABSF-200-ST60-A | PVCF-200.125-BSH-P
Charlotte Pipe,0.53,4,4,3,22.98,64.46,ABSF-400-RPC-A | PDWV-200150150150DFT-P | ABSF-400-FTGFA-A | PDWV-400300FLB-P
Charlotte Pipe,0.3,4,5,3,73.0,52.7,CPVP-075-20-SCH80 | CPVC-200-45EL-V | ABSF-300-RPC-A | ABSF-300.150-CPL-A
LSP Products,0.32,4,6,3,15.84,40.9,AQUF-KDW-560-PP | AQUF-SFC-506-PP | AQUF-WCS-112-PP | AQUF-SFC-509-PP
Viega,0.1,5,4,3,23.8,21.42,VEGA-11500 | VEGA-49554 | VEGA-78077 | VEGA-77347
Viega,0.08,4,4,3,8.67,18.39,VEGA-49544 | VEGA-49260 | VEGA-50520 | VEGA-46644
Pasco,0.08,10,11,3,6.45,14.43,PASC-2153 | PASC-2882 | PASC-1840 | PASC-2816
Pasco,0.06,8,7,3,5.75,12.9,PASC-1402 | PASC-2881 | PASC-4649 | PASC-1331-C
Sioux Chief,0.02,20,4,3,3.51,8.53,SIOU-821-TP | SIOU-490-10341 | SIOU-612-2S | SIOU-649TX4
Sioux Chief,0.04,7,4,3,4.02,7.77,SIOU-614-3 | SIOU-878-15 | SIOU-557-7 | SIOU-559-6
Viega,0.02,12,4,3,3.82,7.49,VEGA-49210 | VEGA-43355 | VEGA-43354 | VEGA-43433
Mueller Streamline,2.26,5,7,2,293.87,581.86,COPF-DWV-200-DBLY-C | COPF-400-MA-C | GAPN-150-10 | BLPN-200-8
HydraPro,5.0,7,5,2,459.01,568.98,PERF-242382380840 | PERF-360000128 | PERF-CI000033658013 | PERF-CI000033658014
Mueller Streamline,1.5,4,5,2,280.08,552.5,COPF-125-UMA-LF | COPF-200-UNI-C | GAIF-150.100.150-TEE-G | GAPN-125-10
Mueller Streamline,1.36,7,5,2,225.6,393.35,COPF-250.200.100-TEE-C | COPF-250.100-TEE-C | BLIF-150.050-TEE | BLIF-150.125.100-TEE
Mueller Streamline,1.34,4,4,2,225.6,393.35,COPF-250.200.125-TEE-C | COPF-250.125-TEE-C | BLPN-300-3 | BLPN-250-3.5
Viega,2.8,4,4,2,188.93,348.14,VEGA-20748 | VEGA-28501 | VEGA-15056 | VEGA-14035
Mueller Streamline,1.38,6,8,2,177.66,331.66,CPPF-300.250-FTR | COPF-400-CAP-C | GAIF-125.050-TEE-G | BLIF-125.050-TEE
Mueller Streamline,0.83,5,4,2,225.92,294.61,COPF-100-UMA-LF | CPPF-150.100-TEE | GAIF-200-CAP-G | BLIF-200-CAP
Mueller Streamline,0.8,8,8,2,139.56,205.36,COPF-DWV-200.150-WYE-C | COPF-DWV-300-CLF-C | GAPN-050-12 | GAPN-200-3
Pasco,1.08,6,5,2,105.93,205.18,PASC-2SM | PASC-2SH | PASC-2904 | PASC-2903
Mueller Streamline,0.96,11,6,2,105.98,178.97,COPF-250-ST45-C | BLIF-250-UNI | BLIF-400.250-BSH | BLIF-150.075-CPL
E. L Mustee & Sons,1.0,7,5,2,89.14,176.95,MUST-65.600 | MUST-14K | MUST-360.210 | MUST-65.700
Mueller Streamline,0.5,8,4,2,130.57,166.39,COPF-100-DE90FA-LF | CPPF-125.075-TEE | CPPF-075.050-MA | GAIF-075.050-TEE-G
Mueller Streamline,0.74,9,5,2,88.88,156.33,CFCB-200.125-TEE | COPF-200.125-TEE-C | GAIF-125.075-CPL-G | GAIF-125.100-CPL-G
Mueller Streamline,0.71,10,6,2,81.25,146.89,COPF-300-CAP-C | COPF-DWV-200-LT90-C | GAPN-075-8 | GAIF-100-TEE-G
"PRIER Products, Inc.",1.33,5,4,2,65.46,127.86,PRIE-C-144T04 | PRIE-409-06 | PRIE-C-144D04 | PRIE-408-06
Mueller Streamline,0.84,9,5,2,48.48,87.09,GAIF-300.200-CPL-G | GAIF-250.200-CPL-G | GAIF-100.050-TEE-G | GAIF-100.075-TEE-G
Jomar,0.5,4,4,2,63.77,84.27,JOMA-230-007 | JOMA-230-005 | JOMA-104-524PG | JOMA-100-103EH
Sioux Chief,0.64,5,5,2,39.67,67.33,SIOU-240-0153C04 | SIOU-630X468 | SIOU-230-0806201 | SIOU-230-0316101
Charlotte Pipe,0.22,6,5,2,53.4,63.74,CPVP-050-20-SCH80 | CPVC-125.100.100-TEE-V | CPVC-125.100-TEE-V | PDWV-200CO-P
Charlotte Pipe,0.45,4,4,2,34.06,56.76,CPVC-200-TEE-V | ABSF-200.150-DBLY-A | ABSF-300-22EL-A | PVCF-300.100-BSH-P
Sioux Chief,0.32,4,5,2,24.63,46.93,SIOU-250-12A | SIOU-863-U | SIOU-612-57 | SIOU-553-026
Charlotte Pipe,0.56,6,4,2,23.77,45.04,ABSF-200-DBLY-A | ABSF-300-60EL-A | PVCP-200-10-SCH40-BE | PVCP-200-10-SCH40-PE
Diablo,0.18,7,7,2,26.54,43.59,DIAB-DNTSL-S5 | DIAB-DNTSS-S5 | DIAB-DNTSS12 | DIAB-DNTSS716
Charlotte Pipe,0.28,7,6,2,23.98,40.77,CPVC-150.100-TEE-V | CORZ-075-UNI-SCH80 | ABSF-300.200-FLB-A | PDWV-150LT90-P
nVent Caddy,0.39,5,7,2,14.68,29.26,HGRI-CRLW50-EG | HGRI-CCC-0187 | HGRI-402-0300-CP | HGRI-310-0037-EG
Viega,0.14,5,4,2,19.44,24.68,VEGA-49754 | VEGA-15107 | VEGA-43260 | VEGA-21033
Sioux Chief,0.25,7,4,2,15.23,24.23,SIOU-632WG222M | SIOU-614-8L | SIOU-554-25W | SIOU-551-3PK2
Charlotte Pipe,0.23,4,4,2,25.5,23.91,CPVP-100-10-V | ABSF-150-DBL90-A | ABSF-150-TET-A | PDWV-300PLG-P
Charlotte Pipe,0.16,7,4,2,10.53,15.85,CPVC-100-TEE-V | PVCF-200.100-TBSH-P | PDWV-150CO-P | ABSF-200-22EL-A
Pasco,0.07,5,4,2,6.15,12.18,PASC-1336-C | PASC-1351-C | PASC-2824 | PASC-60048
Charlotte Pipe,0.07,8,4,2,4.68,8.65,CPVC-125.075-BSH-V | PVCF-150.125-TBSH-P | PVCF-150.125-BSH-P | PVCF-125.100-BSH-P
Liberty Pumps,61.0,11,5,1,2730.0,2730.0,LIBE-OTC-230 | LIBE-PRG101A | LIBE-K001622 | LIBE-ALM-2-EYE
Tyler Pipe Company,3.0,4,4,1,1481.16,1481.16,GVLF-469-150-E-316 | NHSF-600-BPL | NHSF-200.150-SANT | NHSF-300-1/6
Rheem Manufacturing,6.0,7,6,1,870.84,870.84,RHEE-RTEH008277MV | RHEE-RTG20151E-1 | RHEE-RTG20151A-1 | RHEE-RTG20151B-1
Jomar,2.06,4,4,1,738.35,738.35,JOMA-150-121G | JOMA-100-645G | JOMA-100-644G | JOMA-100-643G
Toto,40.0,36,4,1,7299.6,429.78,TOTO-MS988CUMFG-01 | TOTO-MS646124CEMFGN-01 | TOTO-WT173MA | TOTO-MS646124CEMFG-01
Mueller Streamline,1.62,6,5,1,224.0,224.0,CPPF-250-MA | GAPN-125-12 | GAIF-150.075-TEE-G | GAIF-150.100-TEE-G
Tyler Pipe Company,4.0,4,5,1,208.59,208.59,TYSE-1200-CPL | NHSF-400.400.350-CLF | NHSF-200-SANC | NHSF-400.300.350-CLF
Mueller Streamline,1.7,5,7,1,142.57,142.57,CPPF-200.150.075-TEE | BLPN-300-3.5 | GAPN-200-6 | BLPN-050-24
Suntemp,2.19,5,4,1,139.95,139.95,SUNT-SUS-6 | SUNT-SIC | SUNT-SEL-3 | SUNT-SER-3
Legend Valve,3.58,4,4,1,136.71,136.71,LEGE-101-008NL | LEGE-101-007NL | LEGE-101-005NL | LEGE-101-004NL
Mueller Streamline,1.47,4,5,1,134.9,134.9,COPF-300-ST45-C | GAIF-125.100-TEE-G | BLIF-125.100-TEE | BLPN-200-5
Mueller Streamline,1.33,4,4,1,113.44,113.44,CPPF-200.125-TEE | GAIF-125.075.075-TEE-G | BLIF-125.050.125-TEE | BLIF-125.075.075-TEE
Tyler Pipe Company,2.07,4,4,1,105.91,105.91,TYSE-2016 | TYSE-4008 | TYSE-4010 | TYSE-4006
