ven,lb,skus,tamanhos,free,preco_max,valor_free,exemplos
Centrotherm,2.19,34,13,22,959.38,9054.04,CTRO-IFBK0335 | CTRO-IFBK0235 | CTRO-IFCK0335 | CTRO-ISQKR03
Resideo,1.4,23,6,22,428.92,5089.31,HONE-L8148E1299/U | HONE-L4008A1130/U | HONE-L4006E1117/U | HONE-L4006E1042/U
Milwaukee Tools,0.4,25,5,22,229.16,1108.3,MILW-48-22-4254 | MILW-48-22-4253 | MILW-48-22-4267 | MILW-48-00-5302
"PRIER Products, Inc.",0.15,22,5,22,325.29,890.27,PRIE-C-634RB1 | PRIE-C-134US | PRIE-P-231-0512 | PRIE-P-231-0510
Duravit,1.0,21,6,21,2383.88,16955.22,DURA-2350120000 | DURA-0454120024 | DURA-0329100000 | DURA-2350800027
Jomar,1.8,30,10,21,2287.39,8082.69,JOMA-600-211 | JOMA-600-06DSBL | JOMA-TGG-FCC | JOMA-600-05DSEL
Mountain Plumbing Products,1.45,21,5,21,337.35,4230.51,MOUN-BWO40S22A2/PN | MOUN-BDR20S22-2/BRN | MOUN-TRIMM3/CHBRZ | MOUN-TRIMM3/PVD
Diablo,0.24,21,10,21,404.75,1549.62,DIAB-DHS08SCTR | DIAB-DHS06CFS | DIAB-DHS4625CT | DIAB-DHS4500CT
Mueller Streamline,0.06,23,9,21,26.79,156.54,CFCB-058-TEE | COPF-050.038-FTGFA-C | CFCB-038-MA | COPF-050.025-MA-C
Resideo,0.61,20,4,20,180.0,1737.99,HONE-T104C1036 | HONE-T100C1026 | HONE-T104B1046 | HONE-V110D1016/U
Milwaukee Tools,0.1,23,13,20,70.65,811.6,MILW-49-56-5691 | MILW-48-25-5335 | MILW-48-25-5140 | MILW-49-56-5681
Legend Valve,0.05,20,7,20,61.83,457.31,LEGE-462-773NL | LEGE-462-718NL | LEGE-462-806NL | LEGE-462-769NL
Milwaukee Tools,0.05,20,4,20,48.47,302.63,MILW-48-73-0034 | MILW-48-73-9050 | MILW-48-73-9051 | MILW-48-73-8651
Mueller Streamline,0.03,20,7,20,19.38,132.06,COPF-050-MARVEL-C | COPF-025-MA-C | COPF-050.018-FLBF-C | CFCB-038-TEE
Viega,0.9,20,8,19,3485.55,6061.72,VEGA-57081 | VEGA-57247 | VEGA-57248 | VEGA-76600
Grohe,1.0,18,4,18,2075.37,9515.72,GROH-23.792001 | GROH-26.420000 | GROH-26.490000 | GROH-29.138A00
