SKU,ID,peso_lb,preco,lambda
PASC-1233,7715694084199,0.02,1.08,0.018519
PASC-1241,7715694739559,0.03,1.08,0.027778
PASC-132,7715694936167,0.01,0.45,0.022222
PASC-1330-C,7715695132775,0.04,1.33,0.030075
PASC-1331-C,7715695198311,0.06,1.91,0.031414
PASC-1333-C,7715695231079,0.05,1.5,0.033333
PASC-1338-C,7715695460455,0.1,3.1,0.032258
PASC-1503,7715697426535,0.01,0.45,0.022222
PASC-1701,7715697885287,0.25,7.85,0.031847
PASC-1855,7715700670567,0.39,11.83,0.032967
PASC-1944,7715701915751,0.34,10.54,0.032258
PASC-2089,7715702308967,0.03,1.38,0.021739
PASC-2811,7715706110055,0.03,1.53,0.019608
PASC-2812,7715706241127,0.04,1.41,0.028369
PASC-2813,7715706306663,0.06,1.88,0.031915
PASC-2821,7715706568807,0.04,1.53,0.026144
PASC-2822,7715706667111,0.04,1.41,0.028369
PASC-2857,7715706962023,0.02,1.64,0.012195
PASC-2860-W,7715707256935,0.03,1.05,0.028571
PASC-2861-W,7715707355239,0.03,1.29,0.023256
PASC-2873,7715707650151,0.02,0.83,0.024096
PASC-2873-W,7715707715687,0.01,0.83,0.012048
PASC-2874,7715707781223,0.02,1.41,0.014184
PASC-2875,7715707945063,0.05,1.53,0.03268
PASC-4292,7715711647847,0.01,0.77,0.012987
PASC-4432,7715712532583,0.01,0.93,0.010753
PASC-46512,7715714007143,0.01,0.69,0.014493
PASC-5023,7715715874919,0.33,10.43,0.03164
PASC-606,7715717185639,0.01,0.7,0.014286
PASC-9014-100,7715717513319,0.03,1.41,0.021277
PASC-9220,7715717677159,2.0,59.43,0.033653
PASC-956,7715717906535,0.62,19.09,0.032478
PASC-960,7715718004839,0.41,12.54,0.032695
PDWV-200FTGFA,7715315318887,0.1,3.17,0.031546
PERF-CI155391461525,7715475554407,15.0,452.36,0.033159
PRIE-408-06,7715718824039,1.33,59.67,0.022289
PRIE-409-06,7715718922343,1.33,64.0,0.020781
PRIE-409-10,7715719020647,1.5,68.64,0.021853
PRIE-409-12,7715719053415,1.54,71.07,0.021669
PRIE-C-134D06,7715719479399,1.33,57.36,0.023187
PRIE-C-134D08,7715719512167,1.5,60.6,0.024752
PRIE-C-134DCC,7715719544935,1.17,49.43,0.02367
PRIE-C-144T10,7715720069223,1.71,74.41,0.022981
PRIE-C-144T12,7715720101991,1.79,77.91,0.022975
PRIE-C-144W08,7715720265831,1.58,69.22,0.022826
PRIE-P-164D12,7715720757351,1.79,82.38,0.021729
PVCF-050-90EL-SCH80,7715324723303,0.52,15.75,0.033016
PVCF-050-CRS-P,7715324887143,0.1,3.19,0.031348
PVCF-050-TCAP-P,7715325640807,0.04,1.6,0.025
PVCF-075-ST90-P,7715326394471,0.09,2.9,0.031034
PVCF-075.050-BSH-P,7715326689383,0.03,0.9,0.033333
PVCF-075.050-TBSH-P,7715326820455,0.03,1.38,0.021739
PVCF-100.075-BSH-P,7715328688231,0.04,1.6,0.025
PVCF-125.100-BSH-P,7715330162791,0.07,2.11,0.033175
PVCF-150.125-BSH-P,7715332292711,0.07,2.29,0.030568
PVCP-1000-SCH40-BE,7715337863271,7.81,345.0,0.022638
PVCP-1000-SCH40-PE,7715337896039,7.71,345.0,0.022348
PVCP-1200-SCH40-BE,7715337961575,10.33,456.4,0.022634
PVCP-1200-SCH40-PE,7715337994343,10.19,456.4,0.022327
PVCP-125-SCH40-PE,7715338092647,0.54,18.6,0.029032
PVCP-200-SCH40-PE,7715339993191,0.54,29.6,0.018243
PVCP-300-10-SCH40-PE,7715340189799,0.54,30.9,0.017476
PVCP-300-SCH40-PE,7715340320871,0.54,61.8,0.008738
PVCP-400-10-SCH40-PE,7715340419175,0.54,43.8,0.012329
PVCP-400-SCH40-PE,7715340550247,0.54,87.6,0.006164
PVCP-400-SCH80,7715340583015,0.63,849.8,0.000741
PVCP-600-SCH40-BE,7715340648551,0.63,157.2,0.004008
PVCP-600-SCH40-PE,7715340681319,0.54,157.2,0.003435
PVCP-600-SCH80,7715340714087,0.63,1202.4,0.000524
PVCP-800-SCH40-BE,7715340779623,0.63,247.8,0.002542
PVCP-800-SCH40-PE,7715340812391,0.54,247.8,0.002179
RHEE-EGSP30-277V-6KW,7715752804455,115.0,3536.33,0.03252
RHEE-ELD30-FTB-208,7715752935527,100.0,3469.83,0.02882
RHEE-ELD40-FTB-208,7715752968295,105.0,3828.81,0.027424
RHEE-ELD52-FTB-208,7715753001063,125.0,4281.72,0.029194
RHEE-ELD80-FTB-208,7715753132135,176.0,5407.02,0.03255
RHEE-ES85-36-G-208-3,7715753656423,350.0,10825.42,0.032331
RHEE-G65-360A-NG,7715753787495,680.0,22402.77,0.030353
RHEE-GHE100SU-400ANG,7715754213479,775.0,25208.58,0.030744
RHEE-PROE20-1-RH-POU,7715755196519,22.0,1020.03,0.021568
RHEE-PROP-G40-50U-RH-HE-EC3,7715756802151,150.0,4786.01,0.031341
RHEE-PROP-G50-100P-RH-HE-EC3,7715756834919,150.0,7576.07,0.019799
RHEE-PROP-G50-100U-RH-HE-EC3,7715756867687,150.0,7505.47,0.019985
RHEE-PROP-G50-50P-RH-HE-EC3,7715756900455,150.0,5017.18,0.029897
RHEE-PROP-G50-76P-RH-HE-EC3,7715756933223,150.0,5786.61,0.025922
RHEE-PROP-G50-76U-RH-HE-EC3,7715756965991,150.0,5716.02,0.026242
RHEE-RTEX-36,7715758178407,22.7,1308.59,0.017347
RHEE-RTG-95DVLN-3,7715758506087,46.5,1419.74,0.032752
RHEE-RTG-95DVLP-3,7715758538855,46.5,1419.74,0.032752
RHEE-RTG-95XLN-3,7715758571623,42.0,1419.74,0.029583
RHEE-RTG-95XLP-3,7715758604391,42.0,1419.74,0.029583
RHEE-RTGH-95DVLN-3,7715759620199,52.9,1664.16,0.031788
RHEE-RTGH-95DVLP-3,7715759685735,52.9,1664.16,0.031788
S&DF-G400-LT90-S,7715688415335,1.28,40.76,0.031403
S&DF-G600-45EL-S,7715688939623,2.21,65.76,0.033607
S&DF-G600-SANT-S,7715689136231,4.85,157.38,0.030817
S&DF-G600-WYE-S,7715689496679,4.18,128.28,0.032585
S&DF-P400-ST45-S,7715690545255,0.49,16.0,0.030625
S&DP-400-3034G,7715763322983,1.03,69.2,0.014884
S&DP-400-3034G-14,7715763355751,1.03,48.44,0.021263
S&DP-600-3034G,7715763552359,1.03,157.8,0.006527
S&DP-600-3034G-14,7715763617895,2.31,110.46,0.020913
S&DT-ADVT-9-2-36-24L,7715204202599,118.5,3546.0,0.033418
S&DT-FUJI-ASUH09LMAS,7715419881575,29.0,1576.5,0.018395
SAMM-8009925,7715764895847,0.09,2.88,0.03125
SCHI-4070-001-05,7715766370407,22.0,2081.48,0.010569
SHAR-25406A,7715767648359,0.33,15.09,0.021869
SHAR-U512LFA,7715767976039,0.33,9.93,0.033233
SHAR-UR514A,7715769647207,0.33,10.52,0.031369
SIOU-696-G1010MF,7715782033511,1.4,45.49,0.030776
SIOU-696-G1011WF,7715782164583,1.5,48.2,0.03112
SIOU-696-G1011XF,7715782197351,1.43,45.49,0.031435
SIOU-819-2A,7715783606375,1.98,59.98,0.033011
SIOU-852-4ANR,7715786915943,3.67,113.02,0.032472
SLOA-0314016,7715791437927,3.0,92.67,0.032373
SNDN-ECO-119GLASME,7715765485671,220.0,9618.75,0.022872
SNDN-ECO-200GLBK,7715765518439,220.0,16772.25,0.013117
SNDN-ECO-285GLNST,7715765551207,220.0,27787.5,0.007917
SPEC-P-0002,7715523821671,0.01,0.35,0.028571
SPEC-P-0003,7715523854439,0.01,0.3,0.033333
SPEC-P-0005,7715523919975,0.02,0.63,0.031746
SSTN-125-2.5,7715516645479,0.5,15.02,0.033289
STIE-220817,7716728995943,5.0,303.64,0.016467
STIE-222039,7716729061479,5.0,303.64,0.016467
T&SB-000811-25,7716730470503,0.52,15.98,0.032541
T&SB-000812-25,7716730568807,0.52,15.98,0.032541
T&SB-133X,7716731879527,1.0,65.73,0.015214
T&SB-B-0665-BSTP,7716732600423,7.0,342.48,0.020439
T&SB-B-0665-BSTR,7716732633191,7.25,281.08,0.025793
T&SB-B-0667-RGH,7716732665959,7.98,275.55,0.02896
T&SB-B-WH4H,7716733255783,0.25,47.45,0.005269
TACO-0015-MSF3-1IFC,7716733747303,8.0,291.39,0.027455
TACO-007-F5,7716734402663,8.0,287.13,0.027862
TACO-UFS-050S,7716737155175,0.5,27.49,0.018188
TACO-UFS-075P,7716737220711,0.5,34.05,0.014684
TACO-UFS-075S,7716737253479,0.5,27.49,0.018188
TACO-UFS-075T,7716737286247,0.5,40.92,0.012219
TOTO-MS8341CUMFG-01,7716751442023,64.0,8318.4,0.007694
TOTO-MS8551CUMFG-01,7716751507559,63.9,7053.54,0.009059
TOTO-MS988CUMFG-01,7716751605863,40.0,7299.6,0.00548
TRAC-FGP-CS-100-100,7715685695591,24.0,1211.68,0.019807
TRAC-FGP-CS-100-180,7715685728359,70.0,2181.03,0.032095
TRAC-FGP-CS-100-50,7715685793895,22.0,667.56,0.032956
TRAC-FGP-CS-500-250,7715685892199,52.0,1633.74,0.031829
TRAC-FGP-CS-750-250,7715686023271,70.0,2118.9,0.033036
TRUE-101-EZ,7716755669095,2.2,67.23,0.032723
TYSE-200-CPL,7716783882343,0.6,19.66,0.030519
VEGA-25730,7716797481063,0.9,29.23,0.03079
VEGA-32063,7716802429031,13.14,430.38,0.030531
VEGA-43443,7716804362343,0.05,1.5,0.033333
VEGA-68430,7716821336167,0.05,22.18,0.002254
VEGA-68431,7716821368935,0.05,26.47,0.001889
VEGA-68432,7716821401703,0.05,26.13,0.001914
VEGA-68434,7716821434471,0.05,14.75,0.00339
VEGA-68435,7716821467239,0.05,19.89,0.002514
WEBS-H-40313W,7716836900967,0.68,30.02,0.022652
WEBS-H-40612,7716836999271,0.5,36.6,0.013661
WEBS-H-40702W,7716837032039,0.39,17.5,0.022286
WEBS-H-40704W,7716837064807,1.03,41.27,0.024958
WEBS-H-50612W,7716837523559,0.83,48.81,0.017005
