SKU,ID,peso_lb,preco,lambda
COPT-138-ACR,7715645718631,0.88,540.6,0.001628
COPT-150-10DWV,7715645751399,0.81,278.4,0.002909
COPT-150-10MH,7715645816935,9.4,287.7,0.032673
COPT-150-DWV,7715645849703,0.81,556.8,0.001455
COPT-150-KH,7715645882471,27.2,814.4,0.033399
COPT-150-MH,7715646046311,18.8,575.4,0.032673
COPT-158-ACR,7715646079079,1.14,702.4,0.001623
COPT-200-10DWV,7715646144615,1.07,365.7,0.002926
COPT-200-10MH,7715646210151,14.6,442.3,0.033009
COPT-200-DWV,7715646242919,1.07,731.4,0.001463
COPT-200-MH,7715646341223,29.2,884.6,0.033009
COPT-218-ACR,7715646373991,1.75,1059.0,0.001653
COPT-250-KH,7715646439527,58.6,1795.8,0.032632
COPT-250-MH,7715646505063,40.6,1305.6,0.031097
COPT-258-ACR,7715646537831,2.48,1542.8,0.001607
COPT-300-10LH,7715646603367,33.3,1083.4,0.030737
COPT-300-10MH,7715646636135,26.8,866.6,0.030925
COPT-300-DWV,7715646668903,1.69,1291.0,0.001309
COPT-300-KH,7715646701671,80.0,2478.8,0.032274
COPT-300-LH,7715646767207,66.6,2166.8,0.030737
COPT-300-MH,7715646799975,53.6,1733.2,0.030925
COPT-400-10LH,7715646832743,53.8,1794.1,0.029987
COPT-400-DWV,7715646865511,2.87,2247.6,0.001277
COPT-400-LH,7715646898279,107.6,3588.2,0.029987
COPT-400-MH,7715646931047,93.2,3194.0,0.02918
COPT-418-ACR,7715646996583,5.38,4040.0,0.001332
COPT-600-10LH,7715647029351,10.2,3293.6,0.003097
COPT-600-LH,7715647062119,10.2,6587.2,0.001548
CPPF-200-UMA,7715651682407,5.31,170.32,0.031177
CPVC-050-CAP-V,7715304505447,0.02,0.77,0.025974
CPVC-050-MA-V,7715304702055,0.03,0.93,0.032258
CPVC-075-45EL-V,7715304865895,0.06,1.94,0.030928
CPVC-075-MA-V,7715305029735,0.04,1.56,0.025641
CPVC-075.050-BSH-V,7715305226343,0.02,1.08,0.018519
CPVP-050-10-V,7715309650023,0.08,7.0,0.011429
CPVP-050-20-SCH80,7715309682791,0.22,53.4,0.00412
CPVP-075-10-V,7715309715559,0.14,11.6,0.012069
CPVP-075-20-SCH80,7715309748327,0.3,73.0,0.00411
CPVP-100-10-V,7715309781095,0.23,25.5,0.00902
CPVP-100-20-SCH80,7715309813863,0.44,106.8,0.00412
CPVP-125-10-V,7715310338151,0.35,46.3,0.007559
CPVP-125-20-SCH80,7715310403687,0.61,148.8,0.004099
CPVP-150-10-V,7715310469223,0.47,60.3,0.007794
CPVP-150-20-SCH80,7715310633063,0.74,180.4,0.004102
CPVP-200-10-V,7715310764135,0.82,96.4,0.008506
CPVP-200-20-SCH80,7715310796903,1.02,249.0,0.004096
CPVP-250-20-SCH80,7715310829671,1.56,378.2,0.004125
CPVP-300-10-CHEM,7715310862439,0.96,210.6,0.004558
CPVP-300-20-SCH80,7715311026279,2.09,469.0,0.004456
CPVP-400-20-SCH80,7715311583335,3.05,683.8,0.00446
CPVP-600-20-SCH80,7715311681639,5.82,1315.2,0.004425
CRBN-075-ST90-G,7715654238311,0.95,30.42,0.031229
CTRO-ISAGL0202,7715281928295,0.1,26.84,0.003726
CTRO-ISELL0245UV,7715282911335,0.15,12.08,0.012417
CTRO-ISRD0302,7715283664999,0.2,32.89,0.006081
CTRO-ISVL022UV,7715283828839,0.5,20.7,0.024155
CTRO-ISVL032UV,7715283992679,0.9,36.77,0.024476
CTSF-BF002,7715343728743,5.9,185.67,0.031777
CTSF-BF006,7715343827047,25.2,814.18,0.030951
CTSF-WRG1003,7715344089191,9.5,298.41,0.031835
CTSF-WRG1004,7715344121959,13.8,434.55,0.031757
DAYT-DXUH1618,7715347169383,17.3,541.5,0.031948
DEAR-1046-1,7715347431527,0.96,29.2,0.032877
DEAR-P9791E,7715354247271,0.16,4.84,0.033058
DELT-72020-BL,7715361554535,2.0,60.44,0.033091
DELT-RP188,7715366731879,0.04,12.69,0.003152
DELT-RP1991,7715366994023,0.2,62.86,0.003182
DELT-RP32102,7715367911527,0.02,6.93,0.002886
DELT-RP46078,7715368140903,0.04,11.12,0.003597
