sku,vendor,ptype,price,lb,usd_lb,teto_lb,handle,variant_id,product_id
GROH-23.792001,Grohe,Tub-Shower Trim Sets,2075.37,1.0,2075.4,69.94,single-handle-freestanding-tub-faucet-with-1-75-gpm-hand-shower-in-grohe-chrome-groh-23-792001,44350722015335,7715429417063
COPF-600.200-TEE-C,Mueller Streamline,Copper Sweat Fittings,1991.7,0.39,5106.9,67.12,6-x-6-x-2-copper-sweat-fittings-tee-c-x-c-x-c,44351106351207,7715641491559
MILW-3697-27,Milwaukee Tools,Combo Kits (M18),1939.21,0.73,2656.5,65.35,m18-fuel-7-tool-combo-kit,44350916788327,7715537846375
GVLF-7012-400-E-GALV,Gruvlok,Gruvlok Fittings,1871.57,0.52,3599.2,63.07,4-flange-galvanized-epdm-green,44350737809511,7715442655335
GVLF-469-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1812.87,0.34,5332.0,61.09,2-ball-valve-316-stainless-steel-press,44353401880679,7716757209191
GVLF-A7064SS-250.200-TEE-1004,Gruvlok,Gruvlok Fittings,1778.95,0.52,3421.1,59.95,2-1-2-x-2-tee-304-stainless-steel-gr-x-gr-x-mpt,44350752489575,7715450880103
GVLF-A7788SS-300-316,Gruvlok,Gruvlok Fittings,1723.1,0.52,3313.7,58.07,3-flange-adapter-316-stainless-steel-gr-x-flange,44350753341543,7715451633767
GVLF-485-150-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1710.33,0.34,5030.4,57.64,1-1-2-union-316-stainless-steel-press,44353404862567,7716760125543
TEKM-557,tekmar Control Systems,Programmable Thermostats,1669.5,0.5,3339.0,56.26,tekmar-thermostat-2-heat-2-cool-557,44353383497831,7716738924647
GVLF-A7788SS-250-316,Gruvlok,Gruvlok Fittings,1528.56,0.52,2939.5,51.51,2-1-2-flange-adapter-316-stainless-steel-gr-x-flange,44350753308775,7715451600999
GVLF-474-200.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1458.12,0.5,2916.2,49.14,2x1-2-fitting-reducer-316-stainless-steel-press,44353402732647,7716758061159
GVLF-478-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1429.32,0.34,4203.9,48.17,2-tee-female-316-stainless-steel-press,44353403781223,7716759109735
GEBE-111.798.00.1,Geberit,Toilet Repair Parts & Accessories,1408.5,0.63,2235.7,47.47,geberit-19-3-4-x-47-1-4-to-55-1-6-0-8-gpf-carrier-frame-with-concealed-tank-installation-and-rough-in-material-for-wall-hung-toilet-carrier,44350706483303,7715419947111
WATT-0792024,Watts,Backflow Preventers,1405.9,0.48,2929.0,47.38,1-2-lead-free-spill-resistant-anti-siphon-vacuum-breaker-backflow-preventer-quarter-turn-shutoff-polymer-coating,44353489240167,7716835786855
GVLF-473-200.150-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1348.14,0.5,2696.3,45.43,2x1-1-2-tee-316-stainless-steel-press,44353402503271,7716757831783
GVLF-473-200.100-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1317.96,0.5,2635.9,44.42,2x1-tee-316-stainless-steel-press,44353402470503,7716757799015
GVLF-7074T-600-PNTD,Gruvlok,Gruvlok Fittings,1316.93,0.52,2532.6,44.38,6-cap-painted-gr,44350745215079,7715447799911
GVLF-478-200.100-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1307.89,0.5,2615.8,44.08,2x1-tee-female-316-stainless-steel-press,44353403879527,7716759208039
MOEN-900-002,Moen,Leak Detection Valves,1296.21,0.6,2160.4,43.68,flo-by-moen-1-25-in-water-leak-detector-with-automatic-water-shut-off-valve,44350979178599,7715580674151
GVLF-70-800-EP-PNTD,Gruvlok,Gruvlok Fittings,1240.49,0.52,2385.6,41.8,8-slidelok-coupling-painted-gr-x-gr-epdm-green-red,44350736203879,7715441410151
GVLF-473-200.075-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1227.4,0.34,3610.0,41.36,2x3-4-tee-316-stainless-steel-press,44353402437735,7716757766247
GVLF-478-200.075-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1227.4,0.34,3610.0,41.36,2x3-4-tee-female-316-stainless-steel-press,44353403846759,7716759175271
GVLF-473-200.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1207.29,0.5,2414.6,40.69,2x1-2-tee-316-stainless-steel-press,44353402404967,7716757733479
GVLF-478-200.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1207.29,0.34,3550.9,40.69,2x1-2-tee-female-316-stainless-steel-press,44353403813991,7716759142503
CTSF-BF008,CTS Fabrication,Copper Sweat Fittings,1206.87,0.39,3094.5,40.67,8-sweat-copper-coated-4-bolt-flange-adapter-150-lb,44350509383783,7715343892583
GVLF-478-150.100-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1156.98,0.34,3402.9,38.99,1-1-2x1-tee-female-316-stainless-steel-press,44353403748455,7716759076967
GVLF-478-150.075-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1126.8,0.5,2253.6,37.97,1-1-2x3-4-tee-female-316-stainless-steel-press,44353403715687,7716759044199
GVLF-442-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1106.68,0.34,3254.9,37.3,2-tee-316-stainless-steel-press,44353401421927,7716756750439
GVLF-473-150.100-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1106.68,0.5,2213.4,37.3,1-1-2x1-tee-316-stainless-steel-press,44353402372199,7716757700711
TEKM-553,tekmar Control Systems,Programmable Thermostats,1087.5,0.5,2175.0,36.65,tekmar-thermostat-2-heat-1-cool-1-fan-553,44353382547559,7716737974375
TACO-009-SF5,Taco Comfort Solutions,Fixed Speed Circulators,1078.77,0.5,2157.5,36.35,009-series-stainless-steel-flanged-rotated-115v-60-1,44353379237991,7716734730343
GVLF-473-150.075-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1056.38,0.34,3107.0,35.6,1-1-2x3-4-tee-316-stainless-steel-press,44353402339431,7716757667943
GVLF-478-150.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1056.38,0.5,2112.8,35.6,1-1-2x1-2-tee-female-316-stainless-steel-press,44353403682919,7716759011431
GVLF-469-100-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1056.15,0.34,3106.3,35.59,1-ball-valve-316-stainless-steel-press,44353401815143,7716757143655
GVLF-478-150-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1030.83,0.34,3031.9,34.74,1-1-2-tee-female-316-stainless-steel-press,44353403650151,7716758978663
GVLF-473-150.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1006.08,0.34,2959.1,33.9,1-1-2x1-2-tee-316-stainless-steel-press,44353402306663,7716757635175
