sku,vendor,ptype,price,lb_loja,teto_lb,handle,variant_id,product_id
SLOA-3346095,Sloan,Soap or Lotion Dispensers,960.45,1.0,32.37,sloan-soap-dispenser-esd700a-cp-soap-dispenser-w-soap-sensor-activated-electronic-chrome-plated-die-cast-body-hand-washing-foam-soap-dispenser-with-the-following-features-in-polished-chrome,44351421841511,7715795435623
GROH-29.137A00,Grohe,Thermostatic Valve Trims,943.14,1.0,31.78,dual-function-thermostatic-valve-trim-in-grohe-hard-graphite,44350725226599,7715432169575
T&SB-B-0133-ADF14-B,T&S Brass & Bronze Works,Washdown Solutions,942.96,1.0,31.78,easyinstall-pre-rinse-spring-action-8-wall-mount-14-add-on-faucet-6-wall-bracket,44353376256103,7716732305511
DAYT-DXUH2416,Dayton,Undermount Sinks,919.5,1.0,30.99,dayton-stainless-steel-26-1-2-x-18-1-2-x-8-single-bowl-undermount-sink,44350519902311,7715347202151
FRAN-PKG11031MBK,Franke,Undermount Sinks,919.25,1.0,30.98,franke-peak-32-0-in-x-18-8-in-matte-black-granite-undermount-single-bowl-kitchen-sink-pkg11031mbk,44350702354535,7715417718887
FRAN-PKG11031SHG,Franke,Undermount Sinks,919.25,1.0,30.98,franke-peak-32-0-in-x-18-8-in-stone-grey-granite-undermount-single-bowl-kitchen-sink-pkg11031shg,44350702452839,7715417817191
DURA-0454600027,Duravit,Vessel Sinks,916.5,1.0,30.89,duravit-vero-23-5-8-rectangular-vessel-sink-in-white-with-single-faucet-hole-and-with-overflow,44350672830567,7715401138279
HGRO-15714671,Hansgrohe,Thermostatic Valve Trims,916.2,1.0,30.88,hansgrohe-ecostat-square-thermostatic-trim-with-volume-control-and-diverter-in-matte-black,44350759010407,7715454713959
HGRO-15714821,Hansgrohe,Thermostatic Valve Trims,916.2,1.0,30.88,hansgrohe-ecostat-square-thermostatic-trim-with-volume-control-and-diverter-in-brushed-nickel,44350759043175,7715454746727
HGRO-15758671,Hansgrohe,Thermostatic Valve Trims,916.2,1.0,30.88,hansgrohe-ecostat-s-thermostatic-trim-with-volume-control-and-diverter-in-matte-black,44350760943719,7715455172711
HGRO-15758821,Hansgrohe,Thermostatic Valve Trims,916.2,1.0,30.88,hansgrohe-ecostat-s-thermostatic-trim-with-volume-control-and-diverter-in-brushed-nickel,44350761009255,7715455205479
DAYT-DXUH2816,Dayton,Undermount Sinks,910.5,1.0,30.68,dayton-stainless-steel-30-1-2-x-18-1-4-x-8-single-bowl-undermount-sink-dayt-dxuh2816,44350519935079,7715347234919
FRAN-PKG160LD-SHG,Franke,Undermount Sinks,910.46,1.0,30.68,franke-peak-32-0-in-x-18-8-in-stone-grey-granite-undermount-double-bowl-kitchen-sink-pkg160ld-shg,44350702911591,7715417948263
TACO-409-3,Taco Comfort Solutions,Air Vents,900.6,0.2,30.35,air-vent-commercially-rated-3-4-inch-npt-brass,44353379860583,7716735352935
DURA-0452600087,Duravit,Vessel Sinks,867.75,1.0,29.24,duravit-vero-23-3-8-rectangular-vessel-sink-in-white-with-widespread-faucet-holes-and-with-overflow,44350672601191,7715400941671
DAYT-DCFU2816,Dayton,Undermount Sinks,864.0,1.0,29.12,dayton-stainless-steel-30-1-2-x-18-1-4-x-8-single-bowl-undermount-sink,44350519509095,7715346808935
HGRO-15757821,Hansgrohe,Thermostatic Valve Trims,862.2,1.0,29.06,hansgrohe-ecostat-s-thermostatic-trim-with-volume-control-in-brushed-nickel,44350760845415,7715455074407
SLOA-1001000,Sloan,Urinals,861.88,1.0,29.05,standard-waterfree-urinal-wes1000-waterfree-urinal-model-1000-white-vitreous-china,44351416729703,7715792355431
T&SB-B-0610,T&S Brass & Bronze Works,Pot Fillers,861.72,2.0,29.04,pot-filler-wall-mount-8-centers-vacuum-breaker-68-hose-w-self-closing-hook-nozzle,44353376452711,7716732502119
HGRO-04820670,Hansgrohe,Thermostatic Valve Trims,860.4,1.0,29.0,hansgrohe-locarno-thermostatic-trim-with-volume-control-and-diverter-in-matte-black,44350758355047,7715454124135
DURA-0454500000,Duravit,Wall-Mount Sinks,853.12,1.0,28.75,duravit-vero-19-5-8-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350672699495,7715401039975
DURA-0454600000,Duravit,Wall-Mount Sinks,853.12,1.0,28.75,duravit-vero-23-5-8-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350672732263,7715401072743
MOEN-UT3693EPBN,Moen,Tub-Shower Trim Sets,844.31,1.0,28.45,moen-voss-m-core-3-series-1-handle-eco-performance-tub-and-shower-trim-kit-in-brushed-nickel-valve-sold-separately,44350994874471,7715592241255
MOEN-UTS344301BN,Moen,Tub-Shower Trim Sets,830.87,1.0,28.0,moen-colinet-m-core-3-series-1-handle-valve-trim-kit-in-brushed-nickel-valve-sold-separately,44350995103847,7715592437863
BOSC-BMS500-AAU006-1AHWXD,Bosch,Wall Mount Head Units,825.96,2.0,27.83,1-2-ton-ductless-mini-split-indoor-wall-mounted-unit-6-000-btu-r454b-208-230v,44350355308647,7715252469863
MOEN-TS2203EPBL,Moen,Tub-Shower Trim Sets,817.72,1.0,27.56,moen-doux-posi-temp-single-handle-tub-and-shower-faucet-trim-kit-in-matte-black-valve-sold-separately,44350993104999,7715590832231
DAYT-DPC1202010-1,Dayton,Drop-In Sinks,777.0,1.0,26.18,dayton-stainless-steel-20-x-20-x-10-1-8-1-hole-single-bowl-drop-in-laundry-sink,44350519607399,7715346907239
MOEN-TS2912EPBN,Moen,Shower Trim Sets,776.01,1.0,26.15,moen-flara-posi-temp-rain-shower-1-handle-eco-performance-shower-only-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,44350993498215,7715591061607
SLOA-3346051,Sloan,Soap or Lotion Dispensers,763.81,1.0,25.74,optima-soap-dispenser-esd200-p-cp-elect-soap-dispenser-sensor-activated-electronic-chrome-plated-die-cast-body-hand-washing-liquid-soap-dispenser-with-the-following-features-in-polished-chrome,44351421808743,7715795402855
MILW-2834-21HD,Milwaukee Tools,Circular Saws (M18),757.42,0.73,25.53,m18-fuel-7-1-4-circular-saw-kit,44350915248231,7715536306279
MILW-2967-22,Milwaukee Tools,Impact Wrenches (M18),757.42,0.73,25.53,m18-fuel-1-2-high-torque-impact-wrench-w-friction-ring-kit,44350916198503,7715537256551
BLAN-443147,Blanco,Undermount Sinks,733.22,1.0,24.71,quatrus-r15-28-single-bowl-kitchen-sink,44350341054567,7715249881191
DELT-51549-BL,Delta,Hand Shower Sets,728.19,2.0,24.54,delta-universal-activtouch-hs-with-slide-bar-9s-matte-black,44350533894247,7715358572647
ELKA-ELGDULB3322WH0,Elkay,Undermount Sinks,726.03,1.0,24.47,elkay-quartz-classic-33-x-19-x-10-equal-double-bowl-undermount-sink-with-aqua-divide-white,44350690426983,7715408969831
DELT-T27967-SS,Delta,Pressure Balance Valve Trims,719.1,1.0,24.23,delta-ara-angular-modern-monitor-17-series-valve-trim-with-6-setting-integrated-diverter-stainless,44350586945639,7715376955495
DAYT-DSE-23322-1,Dayton,Drop-In Sinks,712.5,1.0,24.01,dayton-stainless-steel-33-x-22-x-8-1-16-1-hole-equal-double-bowl-drop-in-sink,44350519738471,7715347038311
MILW-48-17-3070,Milwaukee Tools,Core Bits,707.19,2.0,23.83,7-diamond-premium-wet-core-bit,44350920392807,7715541418087
GVLF-7074T-300-PNTD,Gruvlok,Gruvlok Fittings,699.22,2.0,23.56,3-cap-painted-gr,44350745084007,7715447701607
HGRO-15708001,Hansgrohe,Thermostatic Valve Trims,693.9,1.0,23.38,hansgrohe-ecostat-e-thermostatic-trim-with-volume-control-and-diverter-in-chrome,44350758944871,7715454648423
HGRO-15728001,Hansgrohe,Thermostatic Valve Trims,693.9,1.0,23.38,hansgrohe-ecostat-classic-thermostatic-trim-with-volume-control-and-diverter-square-in-chrome,44350759207015,7715454877799
HGRO-15758001,Hansgrohe,Thermostatic Valve Trims,693.9,1.0,23.38,hansgrohe-ecostat-s-thermostatic-trim-with-volume-control-and-diverter-in-chrome,44350760878183,7715455107175
FRAN-CUX11027,Franke,Undermount Sinks,692.78,1.0,23.35,franke-cube-28-5-in-x-17-7-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-cux11027,44350701830247,7715417227367
GROH-24.107EN0,Grohe,Thermostatic Valve Trims,680.4,1.0,22.93,single-function-2-handle-thermostatic-valve-trim-in-grohe-brushed-nickel,44350722211943,7715429580903
BRIZ-T60076-PN,Brizo,Thermostatic Valve Trims,676.51,1.0,22.8,brizo-invari-tempassure-thermostatic-valve-only-trim-polished-nickel,44350375264359,7715266003047
JOMA-600-06DSEL,Jomar,Butterfly Valves,670.46,2.0,22.59,6-lug-style-epoxy-coated-ductile-iron-body-stainless-steel-disc-joma-600-06dsel,44350835064935,7715488923751
HGRO-15757001,Hansgrohe,Thermostatic Valve Trims,654.3,1.0,22.05,hansgrohe-ecostat-s-thermostatic-trim-with-volume-control-in-chrome,44350760812647,7715455041639
DELT-T17467-BL,Delta,Tub-Shower Trim Sets,641.7,1.0,21.63,delta-ara-monitor-17-series-h2okinetic-tub-shower-trim-matte-black,44350583341159,7715375382631
MILW-2929S-20,Milwaukee Tools,Band Saws (M18),641.44,0.73,21.62,m18-fuel-deep-cut-dual-trigger-band-saw-w-one-key,44350915805287,7715536863335
MILW-2940-20,Milwaukee Tools,Transfer Pumps (M18),641.44,0.73,21.62,m18-brushless-stick-transfer-pump,44350915870823,7715536928871
MILW-3697-22,Milwaukee Tools,Combo Kits (M18),627.24,0.73,21.14,m18-fuel-2-tool-combo-kit,44350916722791,7715537780839
MILW-2829S-20,Milwaukee Tools,Band Saws (M18),612.42,0.73,20.64,m18-fuel-compact-dual-trigger-band-saw-tool-only,44350915215463,7715536273511
ELKA-LKSS1141A,Elkay,Drinking Fountain & Cooler Parts & Accessories,591.94,2.0,19.95,elkay-stainless-steel-classroom-bubbler,44350691377255,7715409920103
MOEN-UT3291BN,Moen,Tub-Shower Trim Sets,590.53,1.0,19.9,moen-align-m-core-3-series-1-handle-valve-trim-kit-in-brushed-nickel-valve-sold-separately,44350994808935,7715592175719
MILW-MXF010-0,Milwaukee Tools,Power Supply (MX),589.41,0.73,19.86,mx-fuel-portable-battery-extension,44350948048999,7715561832551
MILW-48-17-5060,Milwaukee Tools,Core Bits,588.86,2.0,19.84,6-diamond-ultra-wet-core-bit,44350920458343,7715541483623
FRAN-MAG11029-MBK,Franke,Undermount Sinks,582.24,1.0,19.62,franke-maris-undermount-31-in-x-17-81-in-granite-single-bowl-kitchen-sink-in-matte-black,44350702059623,7715417456743
DELT-T24859-BL,Delta,Pressure Balance Valve Trims,577.8,1.0,19.47,delta-trinsic-contemporary-monitor-14-series-valve-trim-with-3-setting-integrated-diverter-matte-black,44350583472231,7715375513703
MILW-2929-20,Milwaukee Tools,Band Saws (M18),569.58,0.73,19.19,m18-fuel-deep-cut-band-saw,44350915739751,7715536797799
MOEN-UT3361BN,Moen,Tub-Shower Trim Sets,566.72,1.0,19.1,moen-cia-brushed-nickel-m-core-3-series-tub-shower-valve-only,44350994841703,7715592208487
DELT-T27889-CZ-PR,Delta,Diverter Valve Trims,551.7,1.0,18.59,delta-tetra-17-series-integrated-diverter-trim-with-3-setting-lumicoat-champagne-bronze,44350585700455,7715376431207
MOEN-UTS32205,Moen,Diverter Valve Trims,545.58,1.0,18.39,moen-weymouth-1-handle-m-core-transfer-valve-trim-kit-in-chrome-valve-sold-separately,44350995071079,7715592405095
HAWS-7360BT-7460BT,Haws,Washdown Solutions,536.52,1.0,18.08,wall-mount-stainless-bowl-eye-face-wash-with-bracket-and-trap,44350773493863,7715459891303
T&SB-BL-5704-08WH4,T&S Brass & Bronze Works,Medical and Laboratory Faucets,525.25,1.0,17.7,lab-mixing-faucet-single-hole-deck-mount-4-wrist-handles-vb-nozzle-serrated-tip,44353377239143,7716733288551
SHAR-PVA35M-DUSB-60,SharkBite,Push Fittings,523.34,0.33,17.64,1-1-4-eb45-double-union-sharkbite-pressure-regulating-valve-prv-ptc-x-ptc,44351367413863,7715767746663
MILW-2829-20,Milwaukee Tools,Band Saws (M18),498.15,0.73,16.79,m18-fuel-compact-band-saw-tool-only,44350915182695,7715536240743
MATC-HS-600ORB,Matco-Norca,Tub-Shower Trim Sets,492.21,1.0,16.59,hs-600orb-slide-bar-shower-system-oil-rubbed-bronze,44350905450599,7715527393383
DAYT-D-22519-1,Dayton,Drop-In Sinks,487.5,1.0,16.43,dayton-stainless-steel-25-x-19-x-6-5-16-1-hole-equal-double-bowl-drop-in-sink,44350519214183,7715346677863
MOEN-TS1422BN,Moen,Body Sprays,485.58,1.0,16.36,moen-mosaic-5-3-8-in-2-function-body-spray-in-brushed-nickel,44350992908391,7715590668391
TEKM-087,tekmar Control Systems,Sensors,477.0,0.2,16.07,tekmar-outdoor-sensor-087,44353382383719,7716737810535
DELT-T17051-PN,Delta,Pressure Balance Valve Trims,475.2,1.0,16.01,delta-dryden-monitor-17-series-valve-only-trim-polished-nickel,44350582751335,7715374858343
MILW-48-22-9487,Milwaukee Tools,"1/2"" Drive",472.65,2.0,15.93,47-piece-1-2-drive-ratchet-socket-set-with-packout-low-profile-organizer,44350930255975,7715549216871
MOEN-UT3290BL,Moen,Pressure Balance Valve Trims,463.65,1.0,15.63,moen-align-m-core-3-series-2-handle-shower-trim-with-integrated-transfer-valve-in-matte-black-valve-sold-separately,44350994776167,7715592142951
MOEN-T2192EPBL,Moen,Shower Trim Sets,462.18,1.0,15.58,moen-align-single-handle-posi-temp-eco-performance-shower-faucet-trim-kit-in-matte-black-valve-sold-separately,44350986715239,7715585196135
HGRO-15862001,Hansgrohe,Pressure Balance Valve Trims,457.2,1.0,15.41,hansgrohe-ecostat-pressure-balance-trim-square-with-diverter-in-chrome,44350761042023,7715455238247
MOUN-MT10-8/PN,Mountain Plumbing Products,Rain Heads,447.53,2.0,15.08,8-round-rain-head-polished-nickel,44350996316263,7715593486439
MOEN-T2262EPBL,Moen,Shower Trim Sets,443.52,1.0,14.95,moen-cia-matte-black-posi-temp-r-shower-only,44350987403367,7715585753191
DELT-T17459-CZ,Delta,Tub-Shower Trim Sets,439.02,1.0,14.79,delta-trinsic-monitor-17-series-h2okinetic-tub-shower-trim-champagne-bronze,44350583242855,7715375284327
MILW-2429-21XC,Milwaukee Tools,Band Saws (M12),438.92,0.73,14.79,m12-cordless-sub-compact-band-saw-kit,44350913544295,7715534602343
MILW-3841-20,Milwaukee Tools,Portable Power,427.15,0.73,14.39,m18-hotshot-jump-starter,44350916821095,7715537879143
DIAB-DHS08SCTR,Diablo,Carbide Hole Saws,404.75,0.24,13.64,diablo-demo-demon-carbide-teeth-rough-in-hole-saw-set-8-piece,44350594416743,7715380232295
GVLF-484-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,402.44,2.0,13.56,2-cap-316-stainless-steel-press,44353404731495,7716759994471
MILW-2960-20,Milwaukee Tools,Impact Wrenches (M18),398.79,0.73,13.44,m18-fuel-3-8-mid-torque-impact-wrench-w-friction-ring,44350916132967,7715537191015
MILW-2962-20,Milwaukee Tools,Impact Wrenches (M18),398.79,0.73,13.44,m18-fuel-1-2-mid-torque-impact-wrench-w-friction-ring,44350916165735,7715537223783
MILW-2782-20,Milwaukee Tools,Circular Saws (M18),398.12,0.73,13.42,m18-fuel-metal-cutting-circular-saw,44350914887783,7715535945831
MILW-2792-20,Milwaukee Tools,Radios & Speakers,397.97,0.73,13.41,m18-jobsite-radio-charger,44350914953319,7715536011367
MILW-0821-20,Milwaukee Tools,Miscellaneous Tools & Accessories,393.9,0.73,13.27,m18-brushless-18-fan,44350912135271,7715533226087
ROHL-LV195L-STN/TO,Rohl,Volume Control Trims,392.92,1.0,13.24,meda-trim-for-volume-control-and-diverter-in-satin-nickel,44351361351783,7715764371559
MOEN-UT2843EPBL,Moen,Tub-Shower Trim Sets,392.81,1.0,13.24,moen-glyde-m-core-2-series-eco-performance-1-handle-tub-and-shower-trim-kit-in-matte-black-valve-sold-separately,44350994645095,7715592044647
MILW-3497-22,Milwaukee Tools,Combo Kits (M12),390.27,0.73,13.15,m12-fuel-2-tool-combo-kit,44350916526183,7715537584231
HGRO-27617670,Hansgrohe,Slide Bars,388.8,2.0,13.1,hansgrohe-unica-wallbar-classic-24-in-matte-black,44350770085991,7715457368167
DELT-T24859,Delta,Pressure Balance Valve Trims,385.2,1.0,12.98,delta-trinsic-contemporary-two-handle-monitor-14-series-valve-trim-with-3-setting-integrated-diverter-chrome,44350583439463,7715375480935
MILW-48-17-5040,Milwaukee Tools,Core Bits,383.42,2.0,12.92,4-diamond-ultra-wet-core-bit,44350920425575,7715541450855
MOUN-MT10-8/CPB,Mountain Plumbing Products,Rain Heads,379.27,2.0,12.78,8-round-rain-head-polished-chrome,44350996283495,7715593453671
MILW-2533-21,Milwaukee Tools,Hedge Trimmers,364.29,0.73,12.28,m12-fuel-8-hedge-trimmer-kit,44350914199655,7715535257703
MOUN-MT953/CHBRZ,Mountain Plumbing Products,Air Switches,362.7,1.0,12.22,round-classic-waste-disposer-air-switch-with-freedom-mount-champagne-bronze,44350999461991,7715595911271
MILW-3577-21,Milwaukee Tools,Trapsnake,361.77,0.73,12.19,m12-trapsnake-2-tool-combo-kit,44350916591719,7715537649767
HGRO-15724671,Hansgrohe,Pressure Balance Valve Trims,357.3,1.0,12.04,hansgrohe-ecostat-square-pressure-balance-trim-in-matte-black,44350759108711,7715454812263
HGRO-15739821,Hansgrohe,Pressure Balance Valve Trims,357.3,1.0,12.04,hansgrohe-ecostat-s-pressure-balance-trim-in-brushed-nickel,44350759305319,7715454976103
MILW-2836-20,Milwaukee Tools,Oscillating Tools (M18),355.33,0.73,11.97,m18-fuel-oscillating-multi-tool,44350915280999,7715536339047
MOUN-MT745-3/PEW,Mountain Plumbing Products,Decorative Drainage,354.9,1.0,11.96,dome-style-round-lavatory-drain-with-overflow-ez-click-soft-touch-dome-pewter,44350998970471,7715595485287
ASFC-TU018.508.295,American Standard,Tub-Shower Trim Sets,352.86,1.0,11.89,edgemere-1-8-gpm-6-8-l-min-tub-and-shower-trim-kit-with-water-saving-showerhead-double-ceramic-pressure-balance-cartridge-with-lever-handle-brushed-nickel,44350266966119,7715221864551
MILW-2429-20,Milwaukee Tools,Band Saws (M12),344.33,0.73,11.6,m12-sub-compact-band-saw-tool-only,44350913511527,7715534569575
HONE-Y8610U4001/U,Resideo,Gas Ignition Components,340.89,0.2,11.49,150-kbtuh-intermittent-pilot-retrofit-kit,44351337660519,7715751198823
HGRO-27413671,Hansgrohe,Shower Arms,335.7,1.0,11.31,hansgrohe-showerarm-raindance-15-in-matte-black,44350765301863,7715456843879
MOEN-TS1322BG,Moen,Body Sprays,335.67,1.0,11.31,moen-mosaic-round-body-spray-in-brushed-gold,44350992744551,7715590537319
MOEN-UT2842EPBL,Moen,Shower Trim Sets,333.67,1.0,11.24,moen-glyde-m-core-2-series-eco-performance-1-handle-shower-trim-kit-in-matte-black-valve-sold-separately,44350994481255,7715591913575
DELT-RP103699CZ,Delta,Rain Heads,333.0,2.0,11.22,delta-modern-single-setting-raincan-champagne-bronze,44350554701927,7715365453927
MILW-2579-20,Milwaukee Tools,Transfer Pumps (M12),328.84,0.73,11.08,m12-stick-transfer-pump,44350914363495,7715535421543
DURA-0711500008,Duravit,Wall-Mount Sinks,326.62,1.0,11.01,duravit-happy-d-2-19-5-8-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole,44350672994407,7715401302119
MILW-2951-20,Milwaukee Tools,Radios & Speakers,319.56,0.73,10.77,m12-radio-charger,44350915969127,7715537027175
ZURN-Z871C4-XL,Zurn,Medical and Laboratory Faucets,319.14,1.0,10.76,aquaspec-deck-mount-gooseneck-faucet-with-2-2-gpm-pressure-compensating-aerator-8-spout-4-wrist-blade-handles,44353501134951,7716847026279
MOEN-UT2842EPBN,Moen,Shower Trim Sets,316.95,1.0,10.68,moen-glyde-m-core-2-series-eco-performance-1-handle-shower-trim-kit-in-brushed-nickel-valve-sold-separately,44350994546791,7715591979111
MOEN-T2191BN,Moen,Pressure Balance Valve Trims,313.19,1.0,10.55,moen-align-single-handle-posi-temp-valve-trim-kit-in-brushed-nickel-valve-sold-separately,44350986453095,7715584966759
HONE-S87C1030/U,Resideo,Gas Ignition Components,311.33,0.2,10.49,direct-spark-ignition-control-two-rod-with-21-second-trial-and-lockout-time,44351323897959,7715743301735
DURA-2376650000,Duravit,Wall-Mount Sinks,307.12,1.0,10.35,duravit-soleil-by-starck-25-5-8-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350684790887,7715403628647
DAYT-D-12522-4,Dayton,Drop-In Sinks,306.0,1.0,10.31,dayton-stainless-steel-25-x-22-x-6-9-16-4-hole-single-bowl-drop-in-sink,44350518591591,7715346546791
MOEN-T2261BG,Moen,Pressure Balance Valve Trims,300.58,1.0,10.13,moen-cia-brushed-gold-posi-temp-r-valve-trim,44350987370599,7715585720423
DELT-T11864-BL,Delta,Diverter Valve Trims,299.7,1.0,10.1,delta-ashlyn-3-setting-2-port-diverter-trim-matte-black,44350574035047,7715371974759
MILW-3494-22,Milwaukee Tools,Combo Kits (M12),297.54,0.73,10.03,m12-subcompact-brushless-2-tool-combo-kit,44350916493415,7715537551463
MOUN-MT962/MB,Mountain Plumbing Products,Air Switches,293.48,1.0,9.89,square-deluxe-flush-waste-disposer-air-switch-with-freedom-mount-matte-black,44350999691367,7715596140647
MILW-2534-20,Milwaukee Tools,Hedge Trimmers,291.08,0.73,9.81,m12-brushless-pruning-shears,44350914232423,7715535290471
MILW-3017-20,Milwaukee Tools,Blowers,290.59,0.73,9.79,m18-fuel-blower,44350916231271,7715537289319
MILW-2952-20,Milwaukee Tools,Radios & Speakers,284.3,0.73,9.58,m18-bluetooth-jobsite-radio,44350916001895,7715537059943
MILW-2848-20,Milwaukee Tools,Compressors (M18),282.41,0.73,9.52,m18-18v-cordless-tire-inflator,44350915379303,7715536437351
DELT-T17035-SS,Delta,Pressure Balance Valve Trims,277.63,1.0,9.36,delta-saylor-monitor-17-series-valve-trim-only-stainless,44350582718567,7715374825575
DELT-T17438-H2O,Delta,Tub-Shower Trim Sets,277.63,1.0,9.36,delta-lahara-monitor-17-series-h2okinetic-tub-shower-trim-chrome,44350583177319,7715375218791
HGRO-04731000,Hansgrohe,Shower Arms,276.3,1.0,9.31,hansgrohe-raindance-e-showerarm-15-must-be-used-with-raindance-e-300-showerhead-in-chrome,44350757044327,7715453698151
MOUN-MT3130/ORB,Mountain Plumbing Products,Decorative Drainage,274.95,1.0,9.27,1-1-2-p-trap-traditional-style-with-high-box-flange-oil-rubbed-bronze,44350998315111,7715594928231
MOUN-MT3140/ORB,Mountain Plumbing Products,Decorative Drainage,274.95,1.0,9.27,1-1-4-p-trap-traditional-style-with-high-box-flange-oil-rubbed-bronze,44350998347879,7715594960999
MILW-2522-20,Milwaukee Tools,Oscillating Tools (M12),274.53,0.73,9.25,m12-fuel-3-compact-cut-off-tool,44350914068583,7715535126631
ROHL-0180SDSTN,Rohl,Soap or Lotion Dispensers,273.98,1.0,9.23,soap-dispenser-in-satin-nickel,44351360335975,7715764043879
BRIZ-69080-GL,Brizo,Air Switches,273.83,1.0,9.23,brizo-air-switch-with-dual-outlet-luxe-gold,44350370447463,7715261841511
HGRO-15724001,Hansgrohe,Pressure Balance Valve Trims,270.9,1.0,9.13,hansgrohe-ecostat-square-pressure-balance-trim-in-chrome,44350759075943,7715454779495
HGRO-15739001,Hansgrohe,Pressure Balance Valve Trims,270.9,1.0,9.13,hansgrohe-ecostat-s-pressure-balance-trim-in-chrome,44350759239783,7715454910567
DELT-72050-AR,Delta,Air Switches,269.91,1.0,9.1,delta-air-switch-with-dual-outlet-arctic-stainless,44350546509927,7715361587303
DELT-T14059-BL,Delta,Pressure Balance Valve Trims,269.91,1.0,9.1,delta-trinsic-monitor-14-series-valve-only-trim-matte-black,44350574526567,7715372466279
MOEN-T2139EPBN,Moen,Tub-Shower Trim Sets,267.78,1.0,9.02,moen-eva-brushed-nickel-posi-temp-r-tub-shower,44350985896039,7715584442471
MOEN-T2253EPBN,Moen,Tub-Shower Trim Sets,267.78,1.0,9.02,moen-brantford-posi-temp-rainshower-single-handle-tub-and-shower-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,44350987337831,7715585687655
BOSC-BMS-CCG-XXD,Bosch,Wall Mount Head Units,263.08,2.0,8.87,compact-cassette-grille-9k-12k-18k,44350347903079,7715251126375
MOEN-UT2843EP,Moen,Tub-Shower Trim Sets,262.65,1.0,8.85,moen-glyde-m-core-2-series-eco-performance-1-handle-tub-and-shower-trim-kit-in-chrome-valve-sold-separately,44350994612327,7715592011879
MILW-2366-20,Milwaukee Tools,Flood Lights,261.72,0.73,8.82,m18-rover-dual-power-flood-light,44350913380455,7715534438503
MOUN-MT30-18/BRN,Mountain Plumbing Products,Shower Arms,260.33,1.0,8.77,round-ceiling-drop-18-brushed-nickel,44350997758055,7715594469479
MUST-67.2424,E. L Mustee & Sons,"Cutting Boards, Colanders & Sink Grids",256.81,2.0,8.65,e-l-mustee-sons-duraguard-bottom-grid-corner,44350688231527,7715407069287
MILW-0887-20,Milwaukee Tools,Blowers,255.72,0.73,8.62,m18-brushless-precision-blower,44350912233575,7715533324391
MILW-2954-20,Milwaukee Tools,Radios & Speakers,255.7,0.73,8.62,m18-bluetooth-jobsite-speaker,44350916067431,7715537125479
DELT-T14237-CZ,Delta,Shower Trim Sets,254.46,1.0,8.58,delta-velum-monitor-14-series-shower-trim-champagne-bronze,44350578032743,7715373219943
MOEN-UT2181BL,Moen,Tub-Shower Trim Sets,254.38,1.0,8.57,moen-dartmoor-matte-black-m-core-2-series-valve-only,44350994284647,7715591749735
MOUN-MT957/PN,Mountain Plumbing Products,Air Switches,253.5,1.0,8.54,round-deluxe-flush-waste-disposer-air-switch-with-freedom-mount-polished-nickel,44350999625831,7715596075111
MOUN-MT200EV/SG,Mountain Plumbing Products,Flanges & Stoppers,252.52,1.0,8.51,classic-complete-stopper-strainer-unit-waste-disposer-trim-satin-gold,44350997299303,7715594207335
MOEN-UT2132NHBN,Moen,Shower Trim Sets,250.09,1.0,8.43,moen-eva-m-core-2-series-1-handle-shower-trim-kit-in-brushed-nickel-valve-sold-separately,44350994219111,7715591684199
GROH-28.5402430,Grohe,Shower Arms,249.84,1.0,8.42,15-shower-arm-in-matte-black,44350724833383,7715431841895
MOEN-T2183ORB,Moen,Tub-Shower Trim Sets,249.28,1.0,8.4,moen-dartmoor-posi-temp-single-handle-wall-mount-faucet-trim-kit-in-oil-rubbed-bronze-valve-sold-separately,44350986322023,7715584835687
AMST-4188A.104.222,American Standard,Toilet Tanks Only,248.83,2.0,8.39,cadet-pro-1-28-gpf-4-8-lpf-12-inch-rough-tank-linen,44350251728999,7715214557287
DELT-50102-CZ,Delta,Body Sprays,248.67,1.0,8.38,delta-surface-mount-body-spray-champagne-bronze,44350533206119,7715357950055
DELT-T14432-BL,Delta,Tub-Shower Trim Sets,247.37,1.0,8.34,delta-woodhurst-tub-shower-trim-matte-black,44350581473383,7715374334055
HONE-S8910U3000/U,Resideo,Gas Ignition Components,246.8,0.2,8.32,universal-hot-surface-ignition-module,44351323930727,7715743334503
RHEE-SP20164,Rheem Manufacturing,Gas Valves & Controls,242.38,2.0,8.17,natural-gas-control-thermostat-for-residential-electric-water-heater,44351356665959,7715760996455
AMST-0356.915.020,American Standard,Wall-Mount Sinks,238.84,1.0,8.05,lucerne-wall-hung-sink-less-overflow-with-8-inch-widespread-white,44350231838823,7715205546087
GERB-HE-27-750,Gerber,Urinals,238.12,1.0,8.02,clinton-0-125-0-5-1-0gpf-urinal-washout-top-spud-space-saver-white,44350718640231,7715426828391
