Handle,SKU,Status,Preco_atual,Custo,MAP,Executive,Preco_novo,Subida_pct,Compare_at,UPC_loja,UPC_planilha,Flags
multisystem-slow-opening-intermittent-and-direct-ignition-gas-valve,HONE-VR8345K4809/U,ACTIVE,188.81,125.87,215.57,150.9,215.57,14.2,,085267819794,85267819794,
multisystem-switching-relay-with-internal-transformer,HONE-R8845U1003/U,ACTIVE,90.44,60.29,103.26,72.28,103.26,14.2,,,85267198080,
nc-rebuild-kit-for-1-2-to-1-in-vu53-fan-coil-valve,HONE-QVU8143A3231/U,ACTIVE,118.25,78.83,135.00,94.5,135.00,14.2,,085267985147,85267985147,
no-rebuild-kit-for-1-2-to-1-in-vu52-fan-coil-valve,HONE-QVU8142A3231/U,ACTIVE,117.66,78.44,134.34,94.04,134.34,14.2,,085267881296,85267881296,
non-programmable-digital-line-volt-thermostat,HONE-TL7235A1003/U,ACTIVE,81.69,54.46,93.26,65.28,93.26,14.2,,085267262583,85267262583,
pilot-burner-for-natural-gas-includes-a-bcr-18-orifice-left-single-tip-style-and-b-style-mounting-bracket,HONE-Q373A2115/U,ACTIVE,40.52,27.01,46.26,32.38,46.26,14.2,,085267309196,85267309196,
pilot-burner-used-for-natural-gas-includes-a-bcr-18-orifice-front-single-tip-style-c-style-mounting-bracket-and-primary-aeration,HONE-Q3450C2092/U,ACTIVE,128.35,85.57,146.56,102.59,146.56,14.2,,085267306461,85267306461,
pilot-burner-used-for-natural-gas-includes-a-bcr-18-orifice-left-single-tip-style-c-style-mounting-bracket-and-primary-aeration,HONE-Q3450C1185/U,ACTIVE,128.35,85.57,146.56,102.59,146.56,14.2,,085267306454,85267306454,
pilot-burner-used-for-natural-gas-includes-a-bcr-22-orifice-right-single-tip-style-e-style-mounting-bracket-and-primary-aeration,HONE-Q3450E3020/U,ACTIVE,128.35,85.57,146.56,102.59,146.56,14.2,,085267335195,85267335195,
plate-mounted-120-v-ac-transformer-with-9-in-leadwires,HONE-AT72D1006/U,ACTIVE,47.69,31.79,54.44,38.11,54.44,14.2,,085267035835,85267035835,
plate-mounted-120-v-ac-transformer-with-9-in-leadwires-hone-at72d1048-u,HONE-AT72D1048/U,ACTIVE,56.70,37.8,64.73,45.31,64.73,14.2,,085267035873,85267035873,
plate-or-panel-mounted-208-277-480-v-ac-transformer-with-9-in-leadwires,HONE-AT150F1030/U,ACTIVE,55.50,37.0,63.36,44.35,63.36,14.2,,085267151122,85267151122,
premier-white-cover-plate-assembly-with-4-3-4-in-x-4-3-4-in-coverplate,HONE-50005625-001/U,ACTIVE,8.56,5.71,9.77,6.84,9.77,14.1,,085267261265,85267261265,
pressuretrol-controller-with-additive-1-to-5-psi-differential-pressure,HONE-PA404A1033/U,ACTIVE,214.47,142.98,244.87,171.41,244.87,14.2,,085267990134,85267990134,
pressuretrol-controller-with-subtractive-1-to-5-psi-differential-pressure,HONE-PA404A1025/U,ACTIVE,236.62,157.75,270.17,189.12,270.17,14.2,,085267064286,85267064286,
prestige-2-wire-iaq-equipment-interface-module-kit-with-two-duct-sensors,HONE-YTHM5421R1010/U,ACTIVE,104.75,69.83,119.59,83.71,119.59,14.2,,,85267386524,
pro-2000-vertical-programmable-thermostat,HONE-TH2210DV1006/U,ACTIVE,59.03,39.35,67.39,47.17,67.39,14.2,,085267861595,85267861595,
red-bronze-filter-bowl-for-sizes-1-2-in-1-1-4-in,HONE-FT09RS-1A,ACTIVE,327.74,218.49,374.19,261.93,374.19,14.2,,4019837038755,4019837038755,
redlink-equipment-remote-module,HONE-ERM5220R1018/U,ACTIVE,153.15,102.1,174.86,122.4,174.86,14.2,,085267844734,85267844734,
redlink-equipment-remote-module-kit,HONE-YERM5220RVPEIM/U,ACTIVE,480.25,320.17,548.33,383.83,548.33,14.2,,085267181075,85267181075,
replacement-cartridge-for-old-style-v100,HONE-CA100A116,ACTIVE,37.55,25.03,42.87,30.01,42.87,14.2,,085267039659,85267039659,
replacement-cell-assembly-400-1000-ohm-sensitivity,HONE-130367/U,ACTIVE,29.37,19.58,33.54,23.48,33.54,14.2,,085267006989,85267006989,
replacement-circuit-board-for-he300-trueease-fan-humidifier,HONE-50057547-001/U,ACTIVE,66.31,44.21,75.71,53,75.71,14.2,,085267799157,85267799157,
replacement-dc-solenoid-valve-for-trueease-advanced-humidifiers-he100-he200-he300,HONE-50041883-001/U,ACTIVE,79.64,53.09,90.93,63.65,90.93,14.2,,085267346306,85267346306,
replacement-duct-or-remote-mount-differential-pressure-switch-truesteam-humidifier,HONE-50027910-001/U,ACTIVE,79.32,52.88,90.56,63.39,90.56,14.2,,085267338196,85267338196,
replacement-filter-insert-for-1-in-and-1-1-4-in,HONE-ES06F-1B,ACTIVE,8.85,5.9,10.10,7.07,10.10,14.1,,4019837030469,4019837030469,
replacement-hardware-kit-for-solenoid-assembly-does-not-include-solenoid-valve-he220-he225-he260-he265-he360-he365,HONE-32001752-001/U,ACTIVE,36.34,24.23,41.50,29.05,41.50,14.2,,085267186322,85267186322,
replacement-head-for-v4043a-120-v-ac-60-hz,HONE-40003916-024/U,ACTIVE,96.89,64.59,110.61,77.43,110.61,14.2,,085267030762,85267030762,
replacement-head-for-v4044a-120-vac-60-hz-with-96-in-leads,HONE-40003916-047/U,ACTIVE,109.48,72.99,125.00,87.5,125.00,14.2,,085267030984,85267030984,
replacement-head-for-v8043a-5000-series-24-v-ac-50-60-hz,HONE-40003916-521/U,ACTIVE,98.76,65.84,112.76,78.93,112.76,14.2,,085267833974,85267833974,
replacement-head-for-v8043b-24-v-ac-50-60-hz-normally-open,HONE-40003916-027/U,ACTIVE,95.11,63.41,108.60,76.02,108.60,14.2,,085267030793,85267030793,
replacement-head-for-v8044a-24-v-ac-50-60-hz,HONE-40003916-046/U,ACTIVE,95.31,63.54,108.81,76.17,108.81,14.2,,085267030977,85267030977,
replacement-keys-set-of-2-for-tg509-tg510-tg511-and-tg512,HONE-191990A/U,ACTIVE,10.33,6.89,11.80,8.26,11.80,14.2,,085267015196,85267015196,
replacement-postfilter-20-in-x-10-in,HONE-50000293-003/U,ACTIVE,30.84,20.56,35.21,24.65,35.21,14.2,,085267252904,85267252904,
replacement-prefilter-10-in-x-20-in,HONE-203370/U,ACTIVE,34.06,22.71,38.89,27.22,38.89,14.2,,085267259934,85267259934,
replacement-prefilter-12-5-in-x-16-in,HONE-203371/U,ACTIVE,45.00,30.0,51.39,35.97,51.39,14.2,,085267135108,85267135108,
replacement-prefilter-12-5-in-x-16-in-x-11-32-in,HONE-203368/U,ACTIVE,35.07,23.38,40.03,28.02,40.03,14.1,,085267259910,85267259910,
replacement-tank-and-gasket-for-truesteam-humidifers-hm506-hm509-hm512-or-steam-humidifier-hm609-and-hm612,HONE-50033181-001/U,ACTIVE,81.42,54.28,92.96,65.07,92.96,14.2,,085267176880,85267176880,
return-duct-backup-control-of-non-zoned-redlink-enabled,HONE-C7735A1000/U,ACTIVE,31.29,20.86,35.71,25,35.71,14.1,,085267213417,85267213417,
sail-switch-with-5-in-wide-sail,HONE-S688A1007/U,ACTIVE,81.14,54.09,92.63,64.84,92.63,14.2,,085267084161,85267084161,
silicon-carbide-hot-surface-igniter-19-1-8-in-lead-length,HONE-Q4100C9046/U,ACTIVE,21.42,14.28,24.46,17.12,24.46,14.2,,085267963091,85267963091,
silicon-carbide-hot-surface-igniter-5-25-in-lead-length,HONE-Q4100C9054/U,ACTIVE,20.77,13.85,23.71,16.6,23.71,14.2,,085267799492,85267799492,
silicon-carbide-hot-surface-igniter-5-25-in-lead-length-hone-q4100c9056-u,HONE-Q4100C9056/U,ACTIVE,21.34,14.23,24.37,17.06,24.37,14.2,,085267734769,85267734769,
silicon-carbide-hot-surface-igniter-5-25-in-lead-length-hone-q4100c9060-u,HONE-Q4100C9060/U,ACTIVE,20.23,13.49,23.10,16.17,23.10,14.2,,085267693004,85267693004,
silicon-carbide-hot-surface-igniter-5-25-in-lead-length-hone-q4100c9062-u,HONE-Q4100C9062/U,ACTIVE,21.30,14.2,24.31,17.02,24.31,14.1,,085267585507,85267585507,
silicon-carbide-hot-surface-igniter-5-25-in-lead-length-hone-q4100c9066-u,HONE-Q4100C9066/U,ACTIVE,21.18,14.12,24.17,16.92,24.17,14.1,,085267959049,85267959049,
silicon-carbide-hot-surface-igniter-5-25-in-lead-length-round-mounting,HONE-Q4100C9048/U,ACTIVE,19.71,13.14,22.50,15.75,22.50,14.2,,085267402224,85267402224,
silicon-carbide-hot-surface-igniter-5-5-in-lead-length,HONE-Q4100C9042/U,ACTIVE,21.13,14.09,24.13,16.89,24.13,14.2,,085267505673,85267505673,
single-pole-line-voltage-programmable-thermostat,HONE-TL8130A1005/U,ACTIVE,110.69,73.79,126.37,88.46,126.37,14.2,,085267262644,85267262644,
single-stage-24-vac-slow-opening-standing-pilot-gas-valve-1-2-x-1-2-set-3-5-wc,HONE-VR8200H1251/U,ACTIVE,167.97,111.98,191.77,134.24,191.77,14.2,,085267112482,85267112482,
single-stage-24-vac-standard-opening-intermittent-pilot-gas-valve-1-2-x-1-2-set-3-5-wc,HONE-VR8204A2076/U,ACTIVE,178.27,118.85,203.54,142.48,203.54,14.2,,085267112598,85267112598,
single-stage-24-vac-standard-opening-intermittent-pilot-gas-valve-3-4-x-3-4-in-set-3-5-in-wc,HONE-VR8304M4507/U,ACTIVE,198.72,132.48,226.89,158.82,226.89,14.2,,085267114677,85267114677,
single-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-fast-fast-opening-24-v-ac-natural-gas,HONE-VR8215S1214T/U,ACTIVE,95.97,63.98,109.57,76.7,109.57,14.2,,085267676366,85267676366,
single-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,HONE-VR8205A2024/U,ACTIVE,182.38,121.59,208.24,145.77,208.24,14.2,,085267113274,85267113274,
single-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas-hone-vr8215s1248t-u,HONE-VR8215S1248T/U,ACTIVE,95.97,63.98,109.57,76.7,109.57,14.2,,085267345293,85267345293,
single-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-3-4-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,HONE-VR8305M3506/U,ACTIVE,193.91,129.27,221.39,154.97,221.39,14.2,,085267114998,85267114998,
single-stage-gas-controls-for-intermittent-pilot-appliance-3-4-in-x-3-4-in-inlet-outlet-size-step-opening-24-v-ac-lp-gas,HONE-VR8304P4330/U,ACTIVE,276.38,184.25,315.54,220.88,315.54,14.2,,085267114851,85267114851,
single-stage-gas-controls-for-standing-pilot-appliance-3-4-in-x-3-4-in-standard-opening-120-v-ac-natural-gas-lp-with-included-conversion-kit,HONE-VR4300A4502/U,ACTIVE,327.00,218.0,373.34,261.34,373.34,14.2,,085267111843,85267111843,
single-stage-gas-controls-for-standing-pilot-appliance-3-4-in-x-3-4-in-standard-opening-24-v-ac-natural-gas-lp-with-included-conversion-kit,HONE-VR8300A4516/U,ACTIVE,186.56,124.37,213.00,149.1,213.00,14.2,,,85267113854,
single-stage-heat-only-thermostat-for-750-mv-applications,HONE-TS812A1007/U,ACTIVE,22.12,14.75,25.26,17.68,25.26,14.2,,085267233781,85267233781,
single-stage-lp-to-natural-gas-conversion-kit-3-in-wc-to-5-in-wc-adjustment-range,HONE-396222/U,ACTIVE,13.26,8.84,15.14,10.6,15.14,14.2,,085267263115,85267263115,
single-stage-lp-to-natural-gas-conversion-kit-5-in-wc-to-7-in-wc-adjustment-includes-regulator-spring-o-ring-adjustment-screw-and-cap-screw,HONE-395253-1/U,ACTIVE,10.77,7.18,12.30,8.61,12.30,14.2,,085267030618,85267030618,
single-use-water-leak-alarm-10-ct,HONE-RWD11/C,ACTIVE,8.28,5.52,9.46,6.62,9.46,14.3,,085267508940,85267508940,
slow-opening-smartvalve-direct-hot-surface-ignition-natural-lp-with-included-conversion-kit-1-2-in-nptx-1-2-in-npt,HONE-SV9510K2539/U,ACTIVE,387.78,258.52,442.73,309.91,442.73,14.2,,085267297714,85267297714,
standard-2-stage-opening-smartvalve-intermittent-hot-surface-pilot-ignition-natural-gas-1-2-in-npt-x-1-2-in-npt-inlet-outlet-size,HONE-SV9541Q2561/U,ACTIVE,382.80,255.2,437.06,305.94,437.06,14.2,,085267297677,85267297677,
standard-opening-smartvalve-intermittent-hot-surface-pilot,HONE-SV9501M2528/U,ACTIVE,377.56,251.71,431.09,301.76,431.09,14.2,,,85267791090,
standing-pilot-burner-for-natural-gas-includes-an-a26-and-k14-orifices-1-in-batwing-tip-style-b-style-mounting-bracket-primary-aeration,HONE-Q327A1626/U,ACTIVE,53.95,35.97,61.60,43.12,61.60,14.2,,,85267067225,
standing-pilot-burner-for-natural-gas-with-left-single-tip-style,HONE-Q314A6094/U,ACTIVE,46.34,30.89,52.90,37.03,52.90,14.2,,085267066747,85267066747,
straight-pattern-1-2-in-thermostatic-radiator-valve,HONE-V2040DSL15,ACTIVE,35.85,23.9,40.94,28.66,40.94,14.2,,085267834063,85267834063,
straight-pattern-3-4-in-thermostatic-radiator-valve,HONE-V2040DSL20,ACTIVE,39.62,26.41,45.23,31.66,45.23,14.2,,4029289040008,4029289040008,
thermostat-alone-for-replacement-only,HONE-TH5320R1002/U,ACTIVE,195.39,130.26,223.09,156.16,223.09,14.2,,085267329392,85267329392,
thermostat-radiator-actuator-with-remote-sensor-and-dual-capillary,HONE-T100C1026,ACTIVE,163.77,109.18,186.97,130.88,186.97,14.2,,085267818599,85267818599,
thermostatic-head-for-danfoss-ra-valves,HONE-T3019DAW0NA,ACTIVE,37.81,25.21,43.19,30.23,43.19,14.2,,5059087016638,5059087016638,
thermostatic-head-for-m30x1-5-connection-with-integral-sensor,HONE-T3019W0NA,ACTIVE,28.18,18.79,32.17,22.52,32.17,14.2,,5059087016621,5059087016621,
thermostatic-head-for-m30x1-5-connection-with-remote-sensor,HONE-T301920W0,ACTIVE,70.30,46.87,80.27,56.19,80.27,14.2,,5059087010353,5059087010353,
thermostatic-radiator-valve-replacement-cartridge,HONE-CA110C107,ACTIVE,44.47,29.65,50.79,35.55,50.79,14.2,,085267039710,85267039710,
three-way-fan-coil-valve-1-2-in-sweat-4-0-cv-3-4-kvs,HONE-VU54S2008/U,ACTIVE,45.03,30.02,51.41,35.99,51.41,14.2,,085267824002,85267824002,
truefresh-ventilation-timer-20-40-60-min,HONE-50053952-020/U,ACTIVE,70.72,47.15,80.76,56.53,80.76,14.2,,,85267279413,
truezone-hz322-panel,HONE-HZ322/U,ACTIVE,225.09,150.06,257.00,179.9,257.00,14.2,,085267297967,85267297967,
truezone-hz432-panel-kit,HONE-HZ432K/U,ACTIVE,457.50,305.0,522.34,365.64,522.34,14.2,,085267314374,85267314374,
truezone-kit-dats-transform-hz311-pnl,HONE-HZ311K/U,ACTIVE,196.37,130.91,224.20,156.94,224.20,14.2,,085267314350,85267314350,
truezone-kit-dats-transform-hz322-pnl,HONE-HZ322K/U,ACTIVE,256.35,170.9,292.69,204.88,292.69,14.2,,085267314367,85267314367,
two-position-actuator-for-vu52-normally-open-and-vu54-valve-bodies-120-v-60-hz,HONE-VU444A1007/U,ACTIVE,81.82,54.55,93.43,65.4,93.43,14.2,,085267823203,85267823203,
two-position-actuator-for-vu52-normally-open-and-vu54-valve-bodies-24-v-50-60-hz,HONE-VU844A1045/U,ACTIVE,43.65,29.1,49.84,34.89,49.84,14.2,,085267831277,85267831277,
two-position-actuator-for-vu52-normally-open-and-vu54-valve-bodies-24-v-50-60-hz-nickel-plated-motor,HONE-VU844A1060/U,ACTIVE,105.80,70.53,120.79,84.55,120.79,14.2,,085267834513,85267834513,
two-position-actuator-for-vu53-normally-closed-valve-bodies-120-v-60-hz,HONE-VU443A1008/B,ACTIVE,65.28,43.52,74.53,52.17,74.53,14.2,,085267823180,85267823180,
two-position-actuator-for-vu53-normally-closed-valve-bodies-120-v-60-hz-hone-vu443a1008-u,HONE-VU443A1008/U,ACTIVE,83.40,55.6,95.21,66.65,95.21,14.2,,085267823180,85267823180,
two-position-actuator-for-vu53-normally-closed-valve-bodies-24-v-50-60-hz,HONE-VU843A1004/U,ACTIVE,78.53,52.35,89.66,62.76,89.66,14.2,,085267823197,85267823197,
two-position-actuator-for-vu53-normally-closed-valve-bodies-24-v-50-60-hz-hone-vu844a1003-u,HONE-VU844A1003/U,ACTIVE,78.53,52.35,89.66,62.76,89.66,14.2,,085267823210,85267823210,
two-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,HONE-VR8205Q2795T/U,ACTIVE,185.31,123.54,211.59,148.11,211.59,14.2,,085267665131,85267665131,
two-stage-gas-controls-for-direct-ignition-appliance-1-2-in-x-1-2-in-standard-opening-24-v-ac-natural-gas-lp-with-included-conversion-kit,HONE-VR9205Q1507/U,ACTIVE,164.87,109.91,188.24,131.77,188.24,14.2,,085267873512,85267873512,
two-stage-gas-controls-for-direct-ignition-appliance-3-4-in-x-3-4-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,HONE-VR8305Q4500/U,ACTIVE,266.85,177.9,304.67,213.27,304.67,14.2,,085267792769,85267792769,
two-stage-gas-controls-for-direct-spark-ignition-appliance-1-2-in-x-1-2-in-inlet-outlet-size-standard-opening-24-v-ac-natural-gas,HONE-VR8205Q2787T/U,ACTIVE,185.31,123.54,211.59,148.11,211.59,14.2,,085267647212,85267647212,
two-stage-lp-to-natural-gas-conversion-kit-3-in-wc-to-5-in-wc-adjustment-range,HONE-396025/U,ACTIVE,13.25,8.83,15.13,10.59,15.13,14.2,,,,
two-stage-natural-to-lp-gas-conversion-kit-8-in-wc-to-11-in-wc-adjustment-range,HONE-396021/U,ACTIVE,11.13,7.42,12.70,8.89,12.70,14.1,,,,
two-way-fan-coil-valve-1-2-in-npt-3-5-cv-3-0-kvs,HONE-VU52N1019/U,ACTIVE,45.03,30.02,51.41,35.99,51.41,14.2,,085267831352,85267831352,
two-way-fan-coil-valve-1-2-in-npt-3-5-cv-3-0-kvs-hone-vu53n1009-u,HONE-VU53N1009/U,ACTIVE,50.20,33.47,57.31,40.12,57.31,14.2,,085267821018,85267821018,
two-way-fan-coil-valve-1-2-in-sweat-1-0-cv-0-9-kvs-hone-vu53s2018-u,HONE-VU53S2018/U,ACTIVE,39.62,26.41,45.23,31.66,45.23,14.2,,085267823951,85267823951,
two-way-fan-coil-valve-1-2-in-sweat-2-5-cv-2-1-kvs,HONE-VU52S2010/U,ACTIVE,39.62,26.41,45.23,31.66,45.23,14.2,,085267824040,85267824040,
two-way-fan-coil-valve-1-2-in-sweat-3-5-cv-3-0-kvs,HONE-VU52S2028/U,ACTIVE,39.62,26.41,45.23,31.66,45.23,14.2,,085267824057,85267824057,
two-way-fan-coil-valve-1-2-in-sweat-3-5-cv-3-0-kvs-hone-vu53s2034-u,HONE-VU53S2034/U,ACTIVE,39.62,26.41,45.23,31.66,45.23,14.2,,085267823975,85267823975,
union-kit-for-1-1-2-in-ds06-and-fk06-npt-valves,HONE-K06U1037/U,ACTIVE,86.20,57.47,98.41,68.89,98.41,14.2,,085267048323,85267048323,
vc-actuator-2-position-spst-100-130-vac,HONE-VC4011ZZ11/U,ACTIVE,80.04,53.36,91.39,63.97,91.39,14.2,,085267811712,85267811712,
vc-floating-actuator-sp3t-tri-state-floating-24-vac,HONE-VC6930ZZ32/U,ACTIVE,69.24,46.16,79.06,55.34,79.06,14.2,,085267832090,85267832090,
vc-modulating-actuator-0-2-10-vdc-24-vac,HONE-VC7934ZZ11/U,ACTIVE,213.13,142.09,243.34,170.34,243.34,14.2,,085267817295,85267817295,
vc-series-replacement-cartridge-for-2-way-valve-with-equal-percentage-flow,HONE-VCZZ1400/U,ACTIVE,29.30,19.53,33.44,23.41,33.44,14.1,,085267818858,85267818858,
vc-series-replacement-cartridge-for-2-way-valve-with-equal-percentage-low-flow,HONE-VCZZ1600/U,ACTIVE,38.07,25.38,43.47,30.43,43.47,14.2,,085267824194,85267824194,
vc-series-replacement-cartridge-for-2-way-valve-with-extra-low-flow,HONE-VCZZ1500/U,ACTIVE,38.07,25.38,43.47,30.43,43.47,14.2,,085267824187,85267824187,
vc-series-replacement-cartridge-for-2-way-valve-with-linear-flow,HONE-VCZZ7100/U,ACTIVE,36.26,24.17,41.40,28.98,41.40,14.2,,085267314077,85267314077,
vc-series-replacement-cartridge-for-2-way-vc-valve-linear-flow,HONE-VCZZ1132/U,ACTIVE,22.02,14.68,25.14,17.6,25.14,14.2,,085267833608,85267833608,
vc-series-replacement-cartridge-for-2-way-vc-valve-with-equal-percentage-flow,HONE-VCZZ1432/U,ACTIVE,22.02,14.68,25.14,17.6,25.14,14.2,,085267833615,85267833615,
vc-series-replacement-cartridge-for-vc-valve-3-way-with-equal-percentage-extra-low-flow,HONE-VCZZ6532/U,ACTIVE,34.66,23.11,39.59,27.71,39.59,14.2,,085267833677,85267833677,
vc-series-replacement-cartridge-for-vc-valve-3-way-with-equal-percentage-low-flow,HONE-VCZZ6632/U,ACTIVE,34.66,23.11,39.59,27.71,39.59,14.2,,085267833684,85267833684,
vc-series-replacement-cartridge-for-vc-valve-3-way-with-equal-percentage-medium-flow,HONE-VCZZ6832/U,ACTIVE,34.66,23.11,39.59,27.71,39.59,14.2,,085267834667,85267834667,
vc-series-replacement-cartridge-for-vc-valve-3-way-with-linear-flow,HONE-VCZZ6132/U,ACTIVE,23.59,15.73,26.93,18.85,26.93,14.2,,085267833653,85267833653,
vczz1100-vc-series-replacement-cartridge,HONE-VCZZ1100/U,ACTIVE,37.89,25.26,43.26,30.28,43.26,14.2,,,85267816014,
wireless-adapter-for-use-with-redlink-enabled-thermostats-and-truezone-system,HONE-THM4000R1000/U,ACTIVE,77.22,51.48,88.17,61.72,88.17,14.2,,085267329538,85267329538,
wiresaver-a-c-wire-adapter-for-wi-fi-thermostats-or-redlink-8000-series-models,HONE-THP9045A1023/U,ACTIVE,20.01,13.34,22.84,15.99,22.84,14.1,,085267543866,85267543866,
