Handle,SKU,Status,Preco_atual,Custo,MAP,Executive,Preco_novo,Subida_pct,Compare_at,UPC_loja,UPC_planilha,Flags
2-position-low-volt-actuator-for-vc-series-with-end-switch-hone-vc8714zz11-u,HONE-VC8714ZZ11/U,ACTIVE,77.58,51.72,88.57,62,88.57,14.2,,085267823616,85267823616,
2-way-1-2-in-fnpt-vc-valve-assembly-3-5-cv-and-linear-flow,HONE-VCZBB1100/U,ACTIVE,54.30,36.2,62.00,43.4,62.00,14.2,,085267815277,85267815277,
2-way-1-2-in-sweat-vc-valve-assembly-3-5-cv-and-linear-flow,HONE-VCZAA1100/E,ACTIVE,37.47,24.98,42.79,29.95,42.79,14.2,,085267813785,85267813785,
2-way-1-in-fnpt-vc-valve-assy-6-6-cv-and-linear-flow,HONE-VCZAR1100/U,ACTIVE,112.80,75.2,128.80,90.16,128.80,14.2,,085267815222,85267815222,
2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow,HONE-VCZAL1100/E,ACTIVE,58.61,39.07,66.91,46.84,66.91,14.2,,085267815208,85267815208,
2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow-hone-vczal3100-u,HONE-VCZAL3100/U,ACTIVE,74.05,49.37,84.56,59.19,84.56,14.2,,085267313650,85267313650,
20-in-x-10-in-parallel-blade-damper,HONE-ZD20X10TZ/U,ACTIVE,223.71,149.14,255.43,178.8,255.43,14.2,,,85267569828,
20-in-x-12-in-parallel-blade-damper,HONE-ZD20X12TZ/U,ACTIVE,228.83,152.55,261.27,182.89,261.27,14.2,,,85267467698,
20-in-x-8-in-parallel-blade-damper,HONE-ZD20X8TZ/U,ACTIVE,207.69,138.46,237.13,165.99,237.13,14.2,,,85267424226,
208-240-vac-general-purpose-relay-with-dpdt-switching,HONE-R4222D1021/U,ACTIVE,28.37,18.91,32.39,22.67,32.39,14.2,,085267075756,85267075756,
24-in-x-10-in-parallel-blade-damper,HONE-ZD24X10TZ/U,ACTIVE,273.31,182.21,312.06,218.44,312.06,14.2,,,85267769884,
24-inch-igniter-flame-rod-assembly,HONE-Q3400A1016/U,ACTIVE,85.00,56.67,97.06,67.94,97.06,14.2,,085267780360,85267780360,
24-v-spst-switching-electric-heater-relay,HONE-R841C1227/U,ACTIVE,109.73,73.15,125.29,87.7,125.29,14.2,,085267081528,85267081528,
24-v-spst-switching-electric-heater-relay-hone-r841d1036-u,HONE-R841D1036/U,ACTIVE,75.27,50.18,85.94,60.16,85.94,14.2,,085267128711,85267128711,
24-vac-1-2-in-flare-n-c-zone-valve,HONE-V8043A1003/U,ACTIVE,126.57,84.38,144.50,101.15,144.50,14.2,,085267109598,85267109598,
24-vac-1-2-in-invert-flare-n-c-quickfit-zone-valve-with-18-in-lead-wires,HONE-V8043E1129/U,ACTIVE,126.50,84.33,144.43,101.1,144.43,14.2,,085267109734,85267109734,
24-vac-1-2-in-npt-nc-quickfit-zone-valve,HONE-V8044A1135/U,ACTIVE,140.82,93.88,160.77,112.54,160.77,14.2,,085267812399,85267812399,
24-vac-1-2-in-sweat-n-c-zone-valve,HONE-V8043A1011/U,ACTIVE,116.04,77.36,132.49,92.74,132.49,14.2,,085267109604,85267109604,
24-vac-1-2-in-sweat-n-c-zone-valve-with-18-in-lead-wires,HONE-V8043E1004/U,ACTIVE,114.68,76.45,130.93,91.65,130.93,14.2,,,85267990035,
24-vac-1-2-in-sweat-n-o-zone-valve,HONE-V8043B1019/U,ACTIVE,131.75,87.83,150.41,105.29,150.41,14.2,,085267109666,85267109666,
24-vac-3-4-in-npt-n-c-quickfit-zone-valve,HONE-V8044A1143/U,ACTIVE,149.12,99.41,170.24,119.17,170.24,14.2,,085267812405,85267812405,
24-vac-3-4-in-pro-press-zone-valve-with-18-in-lead-wire,HONE-V8043A1312/U,ACTIVE,154.91,103.27,176.86,123.8,176.86,14.2,,085267806046,85267806046,
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve,HONE-V8043A5029/U,ACTIVE,127.09,84.73,145.10,101.57,145.10,14.2,,085267833509,85267833509,
24-vac-3-4-in-sweat-n-o-zone-valve,HONE-V8043B1027/U,ACTIVE,140.34,93.56,160.23,112.16,160.23,14.2,,,85267109673,
24-vac-50-60-hz-replacement-head-for-v8043a,HONE-40003916-021/U,ACTIVE,87.68,58.45,100.10,70.07,100.10,14.2,,085267030731,85267030731,
24-vac-dual-slow-opening-gas-valve-with-step-opening-single-stage,HONE-VR8304P4504/U,ACTIVE,275.94,183.96,315.06,220.54,315.06,14.2,,085267114912,85267114912,
24v-50-60-hz-replacement-motor-for-v8043j-steam-heating-zone-valves,HONE-802360UA/U,ACTIVE,58.32,38.88,66.59,46.61,66.59,14.2,,,85267034210,
277v-replacement-motor-for-v4043-or-v4044-zone-valves,HONE-802360QA/U,ACTIVE,57.03,38.02,65.11,45.58,65.11,14.2,,085267034203,85267034203,
